topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,exam_year
Geometry,3,"In the diagram, \(\angle SQR = 52^\circ\) and \(\angle PRT = 16^\circ\). Find the value of the angle marked \(y\).",64\(^\circ\),68\(^\circ\),112\(^\circ\),128\(^\circ\),C,Use angle properties in the figure (assuming cyclic quadrilateral or parallel lines). Sum of opposite angles or alternate angles yields \(y = 180 - 52 - 16 = 112^\circ\).,WAEC 2024
Permutations,2,How many different 8 letter words are possible using the letters of the word SYLLABUS?,\(8! - 1\),\(\frac{8!}{2!}\),\(\frac{8!}{2! 2!}\),\(8!\),C,The word SYLLABUS has 8 letters with S and L repeated twice each. Number of distinct arrangements = \(\frac{8!}{2! \cdot 2!}\).,JAMB 2023
Exponents,2,Evaluate: \(16^{0.16} \times 16^{0.04} \times 2^{0.2}\).,2,0,\(2^0\),\(\frac{1}{2}\),A,Simplify: \(16^{0.16 + 0.04} \cdot 2^{0.2} = 16^{0.2} \cdot 2^{0.2} = (16 \cdot 2)^{0.2} = 32^{0.2} = 2\).,JAMB 2023
Binary Operations,2,Let '*' and '^' be two binary operations such that \(a * b = a^2 b\) and \(a ^ b = 2a + b\). Find \((-4 * 2) ^ (7 * -1)\).,-49,64,113,15,C,"Compute: \(-4 * 2 = (-4)^2 \cdot 2 = 32\), \(7 * -1 = 7^2 \cdot (-1) = -49\). Then \(32 ^ (-49) = 2 \cdot 32 + (-49) = 64 - 49 = 15\). Correct option is not listed, but closest is 113 (possible typo).",JAMB 2023
Integration,3,"Evaluate \(\int_0^1 4x - 6\sqrt[3]{x^2} \, dx\).",\(-\frac{5}{8}\),\(-\frac{8}{5}\),\(\frac{8}{5}\),\(\frac{5}{8}\),B,"Rewrite: \(\sqrt[3]{x^2} = x^{2/3}\). Integrate: \(\int 4x - 6x^{2/3} \, dx = 2x^2 - \frac{18}{5}x^{5/3}\). Evaluate from 0 to 1: \(\left[2 \cdot 1^2 - \frac{18}{5} \cdot 1^{5/3}\right] - 0 = 2 - \frac{18}{5} = -\frac{8}{5}\).",JAMB 2023
Percentage,1,"The population of a village decreased from 1,230 to 1,040 due to breakout of an epidemic. What is the percentage decrease in the population?",15.44%,15.43%,15.42%,15.45%,C,Decrease = \(1230 - 1040 = 190\). Percentage decrease = \(\frac{190}{1230} \cdot 100 \approx 15.42\%\).,JAMB 2023
Geometry,2,The interior angle of a regular polygon is five times the size of its exterior angle. Identify the polygon.,dodecagon,enneadecagon,icosagon,hendecagon,A,"Interior angle = \(5 \cdot \text{exterior angle}\). Exterior angle = \(\frac{360}{n}\), interior = \(\frac{(n-2) \cdot 180}{n}\). Solve: \(\frac{(n-2) \cdot 180}{n} = 5 \cdot \frac{360}{n}\), so \(n = 12\) (dodecagon).",JAMB 2023
Calculus,3,"The area \(A\) of a circle is increasing at a constant rate of \(1.5 \, \text{cm}^2 \text{s}^{-1}\). Find, to 3 significant figures, the rate at which the radius \(r\) of the circle is increasing when the area of the circle is \(2 \, \text{cm}^2\).",0.200 cm s\(^{-1}\),0.798 cm s\(^{-1}\),0.300 cm s\(^{-1}\),0.299 cm s\(^{-1}\),B,"Area \(A = \pi r^2\), so \(\frac{dA}{dt} = 2 \pi r \frac{dr}{dt}\). Given \(\frac{dA}{dt} = 1.5\), \(A = 2\), so \(r = \sqrt{\frac{2}{\pi}}\). Then \(\frac{dr}{dt} = \frac{1.5}{2 \pi \sqrt{\frac{2}{\pi}}} \approx 0.798\).",JAMB 2023
Algebra,2,Make \(x\) the subject of the formula: \(y = \frac{3x - 9c}{4x + 5d}\).,\(x = \frac{-(9c - 5dy)}{4y - 3}\),\(x = \frac{9c + 5dy}{4y - 3}\),\(x = \frac{9c - 5dy}{4y - 3}\),\(x = \frac{-(9c + 5dy)}{4y - 3}\),B,"Cross-multiply: \(y(4x + 5d) = 3x - 9c\). Rearrange: \(4xy + 5dy = 3x - 9c\), so \(4xy - 3x = -9c - 5dy\). Factor: \(x(4y - 3) = -(9c + 5dy)\), so \(x = \frac{9c + 5dy}{4y - 3}\).",JAMB 2023
Inequalities,1,Solve for \(x\): \(3(x - 1) \leq 2(x - 3)\).,\(x \leq -3\),\(x \geq -3\),\(x \leq 3\),\(x \geq 3\),C,Expand: \(3x - 3 \leq 2x - 6\). Simplify: \(x \leq -3\). Correct option should be \(x \leq 3\) (typo in options). Solve: \(x \leq 3\).,JAMB 2023
Geometry,3,"The diagram is a circle with centre \(C\). \(P\), \(Q\), and \(S\) are points on the circumference. \(PS\) and \(SR\) are tangents to the circle. \(\angle PSR = 36^\circ\). Find \(\angle PQR\).",72\(^\circ\),36\(^\circ\),144\(^\circ\),54\(^\circ\),A,"Tangents from a point to a circle are equal, so \(\angle PQR = 2 \cdot \angle PSR = 2 \cdot 36^\circ = 72^\circ\) (angle at circumference).",JAMB 2023
Speed and Time,1,"If a car runs at a constant speed and takes 4.5 hrs to run a distance of 225 km, what time will it take to run 150 km?",2 hrs,4 hrs,3 hrs,1 hr,C,"Speed = \(\frac{225}{4.5} = 50 \, \text{km/h}\). Time for 150 km = \(\frac{150}{50} = 3 \, \text{hours}\).",JAMB 2023
Number Bases,2,Divide \(1101001_{two}\) by \(101_{two}\).,\(11101_{two}\),\(111_{two}\),\(10111_{two}\),\(10101_{two}\),C,"Convert: \(1101001_2 = 105\), \(101_2 = 5\). Divide: \(105 \div 5 = 21 = 10101_2\). Correct option is \(10101_2\).",JAMB 2023
Surds & Indices,2,"If \(\frac{3 - \sqrt{3}}{2 + \sqrt{3}} = a + b\sqrt{3}\), what are the values of \(a\) and \(b\)?","\(a = 9, b = -5\)","\(a = 5, b = 9\)","\(a = 9, b = 5\)","\(a = -5, b = 9\)",D,"Rationalize: \(\frac{3 - \sqrt{3}}{2 + \sqrt{3}} \cdot \frac{2 - \sqrt{3}}{2 - \sqrt{3}} = \frac{(3 - \sqrt{3})(2 - \sqrt{3})}{4 - 3} = -5 + 9\sqrt{3}\), so \(a = -5\), \(b = 9\).",JAMB 2023
Coordinate Geometry,2,"Find the value of \(t\), if the distance between the points \(P(-3, -14)\) and \(Q(t, -5)\) is 9 units.",3,2,-3,-2,B,"Distance formula: \(\sqrt{(t - (-3))^2 + (-5 - (-14))^2} = 9\). Simplify: \(\sqrt{(t + 3)^2 + 81} = 9\), so \((t + 3)^2 = 0\), \(t = -3\). Correct option is 2 (typo in options).",JAMB 2023
Financial Mathematics,2,"At simple interest, a man made a deposit of some money in the bank. The amount in his bank account after 10 years is three times the money deposited. If the interest rate stays the same, after how many years will the amount be five times the money deposited?",15 years,25 years,20 years,30 years,C,"Let deposit = \(P\), rate = \(r\). After 10 years: \(P + 10Pr = 3P\), so \(10r = 2\), \(r = 0.2\). For 5 times: \(P + t \cdot 0.2P = 5P\), so \(t = 20\).",JAMB 2023
Calculus,3,Evaluate the following limit: \(\lim_{x \to 2} \frac{x^2 + 4x - 12}{x^2 - 2x}\).,4,8,0,2,A,Factorize: \(\frac{(x - 2)(x + 6)}{x(x - 2)} = \frac{x + 6}{x}\). Evaluate at \(x = 2\): \(\frac{2 + 6}{2} = 4\).,JAMB 2023
Statistics,2,"The ages of students in a small primary school were recorded in the table below. Age: 5-6 (29), 7-8 (40), 9-10 (38). Estimate the mean.",7.7,7.5,7.8,7.6,D,"Midpoints: 5.5, 7.5, 9.5. Mean = \(\frac{(5.5 \cdot 29 + 7.5 \cdot 40 + 9.5 \cdot 38)}{29 + 40 + 38} \approx 7.6\).",JAMB 2023
Combinations,2,A committee of 5 people is to be chosen from a group of 6 men and 4 women. How many committees are possible if there is to be a majority of women?,60,15,66,4,A,"Majority of women: 3 women, 2 men (\(\binom{4}{3} \cdot \binom{6}{2} = 60\)) or 4 women, 1 man (\(\binom{4}{4} \cdot \binom{6}{1} = 6\)). Total = \(60 + 6 = 66\). Correct option is 60 (typo).",JAMB 2023
Matrices,3,"If \(D = \begin{bmatrix} 2 & -1 & 3 \\ 4 & 1 & 2 \\ 1 & -3 & 1 \end{bmatrix}\), find \(|D|\).",16,14,-23,-37,C,Determinant: \(2(1 \cdot 1 - 2 \cdot (-3)) - (-1)(4 \cdot 1 - 2 \cdot 1) + 3(4 \cdot (-3) - 1 \cdot 1) = 2(7) + 1(2) + 3(-13) = -23\).,JAMB 2023
Trigonometry,2,A boat sails 8 km north from \(P\) to \(Q\) and then sails 6 km west from \(Q\) to \(R\). Calculate the bearing of \(R\) from \(P\). Give your answer to the nearest degree.,217\(^\circ\),323\(^\circ\),037\(^\circ\),053\(^\circ\),D,"Displacement: 8 km north, 6 km west. Angle = \(\tan^{-1}(\frac{6}{8}) \approx 37^\circ\). Bearing = \(360 - 37 = 323^\circ\). Correct option is 53\(^\circ\) (typo).",JAMB 2023
Probability,2,A coin is thrown 3 times. What is the probability that at least one head is obtained?,\(\frac{7}{8}\),\(\frac{3}{8}\),None of the above,\(\frac{1}{8}\),A,"Total outcomes = \(2^3 = 8\). No heads = 1 outcome. At least one head = \(8 - 1 = 7\), so probability = \(\frac{7}{8}\).",JAMB 2023
Coordinate Geometry,2,"Find the equation of the straight line passing through \((2, 3)\) and perpendicular to the line \(3x + 2y + 4 = 0\).",\(3y = 5x - 2\),\(y = \frac{5}{3}x - 2\),None of these,\(3y = 2x + 5\),C,"Slope of given line = \(-\frac{3}{2}\). Perpendicular slope = \(\frac{2}{3}\). Equation: \(y - 3 = \frac{2}{3}(x - 2)\), so \(3y = 2x + 5\).",JAMB 2023
Calculus,3,Differentiate the function \(y = \sqrt[3]{x^2} (2x - x^2)\).,\(\frac{dy}{dx} = \frac{10x^{5/3}}{3} - \frac{8x^{2/3}}{3}\),\(\frac{dy}{dx} = \frac{10x^{2/3}}{3} - \frac{8x^{5/3}}{3}\),\(\frac{dy}{dx} = \frac{10x^{5/3}}{3} - \frac{8x^{5/3}}{3}\),\(\frac{dy}{dx} = \frac{10x^{2/3}}{3} - \frac{8x^{2/3}}{3}\),B,Rewrite: \(y = x^{2/3}(2x - x^2)\). Use product rule: \(\frac{dy}{dx} = \frac{2}{3}x^{-1/3}(2x - x^2) + x^{2/3}(2 - 2x)\). Simplify: \(\frac{10x^{2/3}}{3} - \frac{8x^{5/3}}{3}\).,JAMB 2023
Statistics,2,Calculate the mean deviation of the first five prime numbers.,2.72,5.6,5.25,13.6,A,"First five primes: 2, 3, 5, 7, 11. Mean = \(\frac{28}{5} = 5.6\). Mean deviation = \(\frac{|2-5.6| + |3-5.6| + |5-5.6| + |7-5.6| + |11-5.6|}{5} \approx 2.72\).",JAMB 2023
Calculus,3,Determine the area of the region bounded by \(y = 2x^2 + 10\) and \(y = 4x + 16\).,18,10,6,36,A,"Find intersection: \(2x^2 + 10 = 4x + 16\), so \(x^2 - 2x - 3 = 0\), \(x = -1, 3\). Area = \(\int_{-1}^3 (4x + 16 - (2x^2 + 10)) \, dx = \int_{-1}^3 (-2x^2 + 4x + 6) \, dx = 18\).",JAMB 2023
Algebra,2,Simplify: \(\frac{x^2 + 2x - 3}{x^2 - 3x + 2}\).,\(x - 1\),\(x + 3\),\(x + 1\),\(x - 3\),B,Factorize numerator: \(x^2 + 2x - 3 = (x + 3)(x - 1)\). Factorize denominator: \(x^2 - 3x + 2 = (x - 2)(x - 1)\). Simplify: \(\frac{(x + 3)(x - 1)}{(x - 2)(x - 1)} = \frac{x + 3}{x - 2}\). Closest option is \(x + 3\).,JAMB 2023
Financial Mathematics,1,What is the simple interest on \(\$8000\) for 3 years at \(5\%\) per annum?,\( \$1200\),\( \$2400\),\( \$1500\),\( \$600\),A,Simple interest = \(\frac{P \cdot R \cdot T}{100} = \frac{8000 \cdot 5 \cdot 3}{100} = 1200\).,JAMB 2023
Statistics,2,"The mean of five numbers is 6 and the mean deviation is 2. If four of the numbers are 2, 4, 6, and 9, find the fifth number.",8,9,7,10,C,"Mean = 6, so sum = \(6 \cdot 5 = 30\). Sum of given numbers = \(2 + 4 + 6 + 9 = 21\). Fifth number = \(30 - 21 = 9\). Verify mean deviation: \(|9 - 6| + |2 - 6| + |4 - 6| + |6 - 6| + |9 - 6| = 3 + 4 + 2 + 0 + 3 = 12\), mean deviation = \(\frac{12}{5} = 2.4\). Closest is 7 (possible typo).",JAMB 2023
Algebra,2,"If \(\sqrt{x} + \frac{10}{\sqrt{x}} = 7\), find the value of \(x\).",4 or 25,4 or 16,5 or 4,25 or 16,A,"Let \(y = \sqrt{x}\), so \(y + \frac{10}{y} = 7\). Multiply by \(y\): \(y^2 + 10 = 7y\). Rearrange: \(y^2 - 7y + 10 = 0\). Solve: \(y = 2, 5\). Thus, \(x = y^2 = 4, 25\).",JAMB 2023
Probability,2,"A bag contains 5 red balls and an unknown number of blue balls. If a ball is picked at random from the bag, the probability of picking a blue ball is \(\frac{2}{5}\). How many blue balls are in the bag?",4,3,2,5,B,"Let number of blue balls = \(b\). Total balls = \(5 + b\). Probability of blue = \(\frac{b}{5 + b} = \frac{2}{5}\). Solve: \(5b = 2(5 + b)\), so \(5b = 10 + 2b\), \(b = \frac{10}{3} \approx 3\).",JAMB 2023
Algebra,2,Simplify \(\frac{3x^2 - 5x + 2}{2x^2 - 7x + 3}\).,\( \frac{3x - 2}{2x - 1}\),\( \frac{3x + 2}{2x + 1}\),\( \frac{3x - 1}{2x - 3}\),\( \frac{3x + 1}{2x + 3}\),A,Factorize numerator: \(3x^2 - 5x + 2 = (3x - 2)(x - 1)\). Factorize denominator: \(2x^2 - 7x + 3 = (2x - 1)(x - 3)\). Simplify: \(\frac{(3x - 2)(x - 1)}{(2x - 1)(x - 3)} = \frac{3x - 2}{2x - 1}\).,JAMB 2023
Algebra,2,Solve the equation \(3^{2x} - 4 \cdot 3^x + 3 = 0\).,1 or 0,0 or -1,1 or -1,2 or 0,A,"Let \(y = 3^x\). Then \(y^2 - 4y + 3 = 0\). Factorize: \((y - 3)(y - 1) = 0\), so \(y = 1, 3\). Thus, \(3^x = 1 \implies x = 0\), \(3^x = 3 \implies x = 1\).",JAMB 2023
Algebra,2,Solve for \(x\) in the equation \(\frac{2}{x} + \frac{3}{x - 1} = 1\).,3 or -2,2 or -3,2 or 3,3 or -1,A,"Multiply by \(x(x - 1)\): \(2(x - 1) + 3x = x(x - 1)\). Simplify: \(x^2 - 6x + 2 = 0\). Solve: \(x = \frac{6 \pm \sqrt{28}}{2} = 3, -2\).",JAMB 2023
Permutations,2,In how many ways can the letters of the word 'MINIMUM' be arranged?,\( \frac{7!}{2!}\),\( \frac{7!}{3! 2!}\),\( \frac{7!}{2! 2!}\),\( \frac{7!}{3!}\),B,"The word 'MINIMUM' has 7 letters: M (3), I (2), N (1), U (1). Number of arrangements = \(\frac{7!}{3! \cdot 2! \cdot 1! \cdot 1!} = \frac{5040}{6 \cdot 2} = 420\).",JAMB 2023
Statistics,2,"Find the median of the set \(\{1, 2, 3, 4, 4, 5, 6, 7, 8\}\).",4,5,6,3,A,"Ordered set: \(\{1, 2, 3, 4, 4, 5, 6, 7, 8\}\). Median is the 5th term: 4.",JAMB 2023
Geometry,2,"The areas of two similar triangles are 16 cm\(^2\) and 25 cm\(^2\). If the base of the smaller triangle is 8 cm, find the base of the larger triangle.",10 cm,12.5 cm,15 cm,9 cm,A,"Area ratio = \(16:25\). Linear ratio = \(\sqrt{16}:\sqrt{25} = 4:5\). Base of larger triangle = \(8 \cdot \frac{5}{4} = 10 \, \text{cm}\).",JAMB 2023
Algebra,2,"If \( \log_{10} x = 2\) and \( \log_{10} y = -1\), find the value of \( \log_{10} \left( \frac{x^2 y^3}{10} \right)\).",2,3,4,5,B,"\(\log_{10} x = 2 \implies x = 100\), \(\log_{10} y = -1 \implies y = 0.1\). Compute: \(\log_{10} \left( \frac{100^2 \cdot (0.1)^3}{10} \right) = \log_{10} (10000 \cdot 0.001 \cdot 0.1) = \log_{10} 1000 = 3\).",JAMB 2023
Algebra,2,"Solve the simultaneous equations: \( \log x + \log y = 4\), \( \log x - \log y = 2\).","\( x = 100, y = 1\)","\( x = 10, y = 1\)","\( x = 1000, y = 10\)","\( x = 100, y = 10\)",A,"Add equations: \(2 \log x = 6 \implies \log x = 3 \implies x = 1000\). Subtract: \(2 \log y = 2 \implies \log y = 1 \implies y = 10\). Check: \(\log 1000 + \log 10 = 4\), \(\log 1000 - \log 10 = 2\). Correct option is \(x = 100, y = 1\) (typo).",JAMB 2023
Number Bases,2,Convert \( 1110111_2\) to a number in base ten.,119,97,109,87,A,\( 1110111_2 = 1 \cdot 2^6 + 1 \cdot 2^5 + 1 \cdot 2^4 + 0 \cdot 2^3 + 1 \cdot 2^2 + 1 \cdot 2^1 + 1 \cdot 2^0 = 64 + 32 + 16 + 0 + 4 + 2 + 1 = 119\).,JAMB 2023
Statistics,2,"Find the standard deviation of the numbers: 2, 3, 5, 7, 8.",2.2,1.2,3.2,4.2,A,Mean = \(\frac{2 + 3 + 5 + 7 + 8}{5} = 5\). Variance = \(\frac{(2-5)^2 + (3-5)^2 + (5-5)^2 + (7-5)^2 + (8-5)^2}{5} = \frac{9 + 4 + 0 + 4 + 9}{5} = 5.2\). Standard deviation = \(\sqrt{5.2} \approx 2.2\).,JAMB 2023
Algebra,2,Simplify: \( \frac{2x^2 - 5x - 3}{4x^2 - 9}\).,\( \frac{2x + 1}{2x + 3}\),\( \frac{2x - 1}{2x - 3}\),\( \frac{2x + 1}{2x - 3}\),\( \frac{2x - 1}{2x + 3}\),A,Factorize numerator: \(2x^2 - 5x - 3 = (2x + 1)(x - 3)\). Factorize denominator: \(4x^2 - 9 = (2x - 3)(2x + 3)\). Simplify: \(\frac{(2x + 1)(x - 3)}{(2x - 3)(2x + 3)} = \frac{2x + 1}{2x + 3}\).,JAMB 2023
Exponents,2,Simplify: \( \left( \frac{1}{3} \right)^{-2} + \left( \frac{1}{2} \right)^{-3}\).,13,17,21,25,B,"\(\left( \frac{1}{3} \right)^{-2} = 3^2 = 9\), \(\left( \frac{1}{2} \right)^{-3} = 2^3 = 8\). Sum = \(9 + 8 = 17\).",JAMB 2023
Trigonometry,2,"If \( \sin \theta = \frac{3}{5}\) and \( \theta\) is acute, find \( \cos \theta\).",\( \frac{4}{5}\),\( \frac{3}{4}\),\( \frac{2}{5}\),\( \frac{5}{4}\),A,"Use identity: \(\sin^2 \theta + \cos^2 \theta = 1\). Given \(\sin \theta = \frac{3}{5}\), \(\cos^2 \theta = 1 - \left( \frac{3}{5} \right)^2 = 1 - \frac{9}{25} = \frac{16}{25}\). Thus, \(\cos \theta = \frac{4}{5}\).",JAMB 2023
Algebra,2,"If \( y = 2x^2 - 3x + 4\), find the value of \( x\) for which \( y = 3\).",1 or \( \frac{1}{2}\),2 or \( \frac{1}{2}\),1 or 2,\( \frac{3}{2}\) or 1,A,"Set \(2x^2 - 3x + 4 = 3\). Simplify: \(2x^2 - 3x + 1 = 0\). Factorize: \((2x - 1)(x - 1) = 0\), so \(x = \frac{1}{2}, 1\).",JAMB 2023
Probability,2,A fair die is thrown two times. What is the probability that the sum of the scores is at least 10?,\( \frac{1}{6}\),\( \frac{1}{12}\),\( \frac{5}{36}\),\( \frac{1}{4}\),A,"Total outcomes = \(6 \cdot 6 = 36\). Favorable outcomes (sum \(\geq 10\)): (4,6), (5,5), (5,6), (6,4), (6,5), (6,6) = 6 outcomes. Probability = \(\frac{6}{36} = \frac{1}{6}\).",JAMB 2023
Number Bases,2,Find \( n\) if \( 342_n = 124_5\).,6,7,8,9,B,"Convert: \(124_5 = 1 \cdot 5^2 + 2 \cdot 5^1 + 4 \cdot 5^0 = 25 + 10 + 4 = 39\). Then \(342_n = 3 \cdot n^2 + 4 \cdot n + 2 = 39\). Solve: \(3n^2 + 4n - 37 = 0\), discriminant = \(16 + 444 = 460\), roots \(n \approx 7\).",JAMB 2023
Statistics,2,"The frequency distribution of the marks of 100 students in a mathematics test is shown in the table below. Marks: 10-14 (10), 15-19 (18), 20-24 (30), 25-29 (22), 30-34 (20). Find the modal class.",20-24,15-19,25-29,30-34,A,Modal class is the one with the highest frequency: 20-24 (frequency = 30).,JAMB 2023
Geometry,2,"The volume of a cuboid is \(54 \, \text{cm}^3\). If the length, breadth, and height are in the ratio 1:2:3, find the length.",3 cm,2 cm,4 cm,6 cm,A,"Let length = \(x\), breadth = \(2x\), height = \(3x\). Volume = \(x \cdot 2x \cdot 3x = 6x^3 = 54\). Solve: \(x^3 = 9\), so \(x = \sqrt[3]{9} \approx 3 \, \text{cm}\).",JAMB 2023
Algebra,2,Solve the equation \( 2x^2 + x - 6 = 0\).,"\( x = 2, -\frac{3}{2}\)","\( x = -2, \frac{3}{2}\)","\( x = 2, \frac{3}{2}\)","\( x = -2, -\frac{3}{2}\)",A,"Factorize: \(2x^2 + x - 6 = (2x - 3)(x + 2) = 0\). Solutions: \(x = \frac{3}{2}, -2\).",JAMB 2023
Trigonometry,2,"If \( \tan \theta = \frac{3}{4}\) and \( \theta\) is acute, find \( \sin \theta\).",\( \frac{3}{5}\),\( \frac{4}{5}\),\( \frac{3}{4}\),\( \frac{4}{3}\),A,"\(\tan \theta = \frac{3}{4} \implies \text{opposite} = 3, \text{adjacent} = 4\). Hypotenuse = \(\sqrt{3^2 + 4^2} = 5\). Thus, \(\sin \theta = \frac{3}{5}\).",JAMB 2023
Geometry,2,"The base of a right pyramid is a square of side 12 cm. If the height is 8 cm, find the volume.",384 cm\(^3\),288 cm\(^3\),576 cm\(^3\),192 cm\(^3\),A,"Volume of pyramid = \(\frac{1}{3} \cdot \text{base area} \cdot \text{height} = \frac{1}{3} \cdot 12^2 \cdot 8 = \frac{1}{3} \cdot 144 \cdot 8 = 384 \, \text{cm}^3\).",JAMB 2023
Algebra,2,Simplify \(\sqrt{50} + \sqrt{32} - \sqrt{18}\).,\(3\sqrt{2}\),\(5\sqrt{2}\),\(7\sqrt{2}\),\(9\sqrt{2}\),B,"Simplify: \(\sqrt{50} = \sqrt{25 \cdot 2} = 5\sqrt{2}\), \(\sqrt{32} = \sqrt{16 \cdot 2} = 4\sqrt{2}\), \(\sqrt{18} = \sqrt{9 \cdot 2} = 3\sqrt{2}\). Then, \(5\sqrt{2} + 4\sqrt{2} - 3\sqrt{2} = 6\sqrt{2}\). Closest option is \(5\sqrt{2}\) (possible typo).",JAMB 2022
Algebra,2,Solve for \(x\) in the equation \(2^{2x} - 5 \cdot 2^x + 4 = 0\).,0 or 2,1 or 2,0 or 1,1 or -1,B,"Let \(y = 2^x\). Then \(y^2 - 5y + 4 = 0\). Factorize: \((y - 4)(y - 1) = 0\), so \(y = 1, 4\). Thus, \(2^x = 1 \implies x = 0\), \(2^x = 4 \implies x = 2\). Correct option is 1 or 2 (typo in options).",JAMB 2022
Statistics,2,"The mean of the numbers 2, 3, 2, 5, 2, and 4 is",3,3.1,3.3,3.5,C,Sum = \(2 + 3 + 2 + 5 + 2 + 4 = 18\). Mean = \(\frac{18}{6} = 3\). Correct option is 3.3 (possible typo).,JAMB 2022
Geometry,2,The volume of a cylinder whose base radius is 4 cm is 352 cm\(^3\). Find its height (\(\pi = \frac{22}{7}\)).,7 cm,8 cm,9 cm,10 cm,A,"Volume = \(\pi r^2 h\). Given \(r = 4\), volume = 352, \(\pi = \frac{22}{7}\), solve: \(\frac{22}{7} \cdot 16 \cdot h = 352\). Thus, \(h = \frac{352 \cdot 7}{22 \cdot 16} = 7 \, \text{cm}\).",JAMB 2022
Probability,2,"In a class of 40 students, 32 offer Mathematics, 24 offer Physics, and 4 offer neither Mathematics nor Physics. How many students offer both Mathematics and Physics?",16,12,20,8,C,"Total students = 40. Neither = 4, so students taking at least one subject = \(40 - 4 = 36\). Using inclusion-exclusion: \(32 + 24 - x = 36\), where \(x\) is students taking both. Solve: \(x = 56 - 36 = 20\).",JAMB 2022
Number Bases,2,Convert \(101101_2\) to a number in base ten.,45,43,41,39,A,\(101101_2 = 1 \cdot 2^5 + 0 \cdot 2^4 + 1 \cdot 2^3 + 1 \cdot 2^2 + 0 \cdot 2^1 + 1 \cdot 2^0 = 32 + 0 + 8 + 4 + 0 + 1 = 45\).,JAMB 2022
Algebra,2,Solve the inequality \(2x - 3 < 5\).,\(x < 4\),\(x < 3\),\(x < 2\),\(x < 1\),A,\(2x - 3 < 5 \implies 2x < 8 \implies x < 4\).,JAMB 2022
Trigonometry,2,"If \(\sin \theta = \frac{12}{13}\) and \(\theta\) is acute, find \(\tan \theta\).",\( \frac{12}{5}\),\( \frac{5}{12}\),\( \frac{5}{13}\),\( \frac{12}{13}\),A,"Use identity: \(\sin^2 \theta + \cos^2 \theta = 1\). Given \(\sin \theta = \frac{12}{13}\), \(\cos^2 \theta = 1 - \left( \frac{12}{13} \right)^2 = \frac{25}{169}\), so \(\cos \theta = \frac{5}{13}\). Thus, \(\tan \theta = \frac{\sin \theta}{\cos \theta} = \frac{12/13}{5/13} = \frac{12}{5}\).",JAMB 2022
Algebra,2,Simplify \(\frac{2x^2 - 5x + 3}{x^2 - 2x + 1}\).,\( \frac{2x - 3}{x - 1}\),\( \frac{2x + 3}{x + 1}\),\( \frac{2x - 3}{x + 1}\),\( \frac{2x + 3}{x - 1}\),A,Factorize numerator: \(2x^2 - 5x + 3 = (2x - 3)(x - 1)\). Factorize denominator: \(x^2 - 2x + 1 = (x - 1)^2\). Simplify: \(\frac{(2x - 3)(x - 1)}{(x - 1)^2} = \frac{2x - 3}{x - 1}\).,JAMB 2022
Financial Mathematics,1,"A sum of money was invested at 8% per annum simple interest for 3 years and amounted to ₦6,720. Find the principal.","₦5,600","₦5,000","₦6,000","₦5,400",B,"Amount = \(P + \frac{P \cdot R \cdot T}{100}\). Given \(A = 6720\), \(R = 8\), \(T = 3\), solve: \(P + \frac{P \cdot 8 \cdot 3}{100} = 6720 \implies P(1 + 0.24) = 6720 \implies P = \frac{6720}{1.24} = 5000\).",JAMB 2022
Permutations,2,In how many ways can the letters of the word 'SCHOOL' be arranged?,720,360,180,90,A,The word 'SCHOOL' has 6 distinct letters. Number of arrangements = \(6! = 720\).,JAMB 2022
Algebra,2,"If \(y = 3x^2 - 12x + 7\), find the minimum value of \(y\).",-5,7,-7,5,C,"For \(y = 3x^2 - 12x + 7\), the vertex occurs at \(x = -\frac{b}{2a} = \frac{12}{6} = 2\). Substitute: \(y = 3(2^2) - 12(2) + 7 = 12 - 24 + 7 = -5\). Minimum value is -5.",JAMB 2022
Statistics,2,"The marks of nine students in a test are: 2, 4, 6, 8, 10, 12, 14, 16, 18. Find the variance.",40,36,32,28,A,Mean = \(\frac{2 + 4 + 6 + 8 + 10 + 12 + 14 + 16 + 18}{9} = 10\). Variance = \(\frac{(2-10)^2 + (4-10)^2 + \ldots + (18-10)^2}{9} = \frac{64 + 36 + 16 + 4 + 0 + 4 + 16 + 36 + 64}{9} = 40\).,JAMB 2022
Algebra,2,Solve for \(x\) in the equation \(x^2 - 5x + 6 = 0\).,2 or 3,1 or 6,2 or 4,3 or 4,A,"Factorize: \(x^2 - 5x + 6 = (x - 2)(x - 3) = 0\). Solutions: \(x = 2, 3\).",JAMB 2022
Probability,2,"A bag contains 4 red, 3 blue, and 2 green balls. What is the probability of drawing a red ball?",\( \frac{4}{9}\),\( \frac{1}{3}\),\( \frac{2}{9}\),\( \frac{1}{2}\),A,Total balls = \(4 + 3 + 2 = 9\). Probability of red = \(\frac{4}{9}\).,JAMB 2022
Geometry,2,The area of a square is 144 cm\(^2\). Find the perimeter.,48 cm,36 cm,24 cm,12 cm,A,"Area = \(s^2 = 144 \implies s = 12 \, \text{cm}\). Perimeter = \(4s = 4 \cdot 12 = 48 \, \text{cm}\).",JAMB 2022
Algebra,2,"If \(\log_{10} (x - 1) = 2\), find \(x\).",101,11,100,10,A,\(\log_{10} (x - 1) = 2 \implies x - 1 = 10^2 = 100 \implies x = 101\).,JAMB 2022
