topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation
Algebra,2,"Simplify \(\sqrt{\frac{(0.0023 \times 750)}{(0.00345 \times 1.25)}}\). \(\quad (\text{Jamb 1999}). \)",15,20,40,75,B,"First, calculate the numerator: \(0.0023 \times 750 = 1.725\). Then, the denominator: \(0.00345 \times 1.25 = 0.0043125\). Next, divide: \(\frac{1.725}{0.0043125}=400\). Finally, take the square root: \(\sqrt{400}=20\). Therefore, the correct answer is option B."
Binary Operations,2,"If \(m*n = \left( \frac{m}{n} - \frac{n}{m} \right)\) for \(m, n \in \mathbb{R}\), evaluate \(-3*4\). \(\quad (\text{Jamb 1999}). \)",\(-\frac{25}{12}\),\(-\frac{7}{12}\),\(\frac{7}{12}\),\(\frac{25}{12}\),C,"Substitute \(m=-3\) and \(n=4\) into the operation: \(-3*4 = \left( -\frac{3}{4} - \frac{4}{-3} \right) = -\frac{3}{4} + \frac{4}{3}\). Find a common denominator (12): \(-\frac{9}{12}+\frac{16}{12}=\frac{7}{12}\). Therefore, the correct answer is option C."
Exponents,3,"If \(\displaystyle \frac{(a^2 b^{-3}c)^{\frac{3}{4}}}{a^{-1}b^{4}c^{5}}=a^{p} b^{q} c^{r}\), what is the value of \(p+2q\)? \(\quad (\text{Jamb 1999}). \)",\( \frac{5}{2} \),\(-\frac{5}{4}\),\(-\frac{25}{4}\),-10,D,"Apply the exponent \(\frac{3}{4}\) to each factor in the numerator: \((a^2)^{\frac{3}{4}}=a^{\frac{3}{2}}\), \((b^{-3})^{\frac{3}{4}}=b^{-\frac{9}{4}}\), and \(c^{\frac{3}{4}}=c^{\frac{3}{4}}\). The numerator becomes \(a^{\frac{3}{2}}b^{-\frac{9}{4}}c^{\frac{3}{4}}\). When dividing by \(a^{-1}b^{4}c^{5}\), subtract the exponents: For \(a\): \(\frac{3}{2}-(-1)=\frac{5}{2}\); for \(b\): \(-\frac{9}{4}-4=-\frac{25}{4}\); for \(c\): \(\frac{3}{4}-5=-\frac{17}{4}\). Thus, \(p=\frac{5}{2}\) and \(q=-\frac{25}{4}\). Now, \(p+2q=\frac{5}{2}+2\left(-\frac{25}{4}\right)=\frac{5}{2}-\frac{50}{4}=\frac{5}{2}-\frac{25}{2}=-\frac{20}{2}=-10\). Therefore, the correct answer is option D."
Algebra,1,"The sum of two numbers is twice their difference. If the difference of the numbers is \(P\), find the larger of the two numbers. \(\quad (\text{Jamb 1999}). \)","\( \frac{P}{2} \)","\( \frac{3P}{2} \)","\( \frac{5P}{2} \)","\( 3P \)",B,"Imagine you have two numbers. Their difference is given as \(P\). The problem says that when you add these two numbers, the result is two times their difference. This means if we call the smaller number \(b\) and the larger \(a\), then \(a + b = 2(a-b)\). When you solve this, you find that \(a = 3b\). Since the difference \(a - b\) equals \(P\), then \(b = \frac{P}{2}\) and so \(a = \frac{3P}{2}\). Therefore, the larger number is \( \frac{3P}{2}\)."
Inequalities,2,"Tope bought \(X\) oranges at N5.00 each and mangoes at N4.00 each. If she bought twice as many mangoes as oranges and spent at least N65.00 and at most N130.00, find the range of values of \(X\) \(\quad (\text{Jamb 1999}). \)","\( 4\leq X\leq 5 \)","\( 5\leq X\leq 8 \)","\( 5\leq X\leq 10 \)","\( 8\leq X\leq 10 \)",C,"Let the number of oranges be \(X\) and the number of mangoes be \(2X\) (because she bought twice as many mangoes). The cost for oranges is \(5X\) and for mangoes it is \(4 \times 2X = 8X\). Together, the total cost is \(5X+8X = 13X\). Since the total spending is between N65 and N130, we write \(65 \leq 13X \leq 130\). Dividing all parts by 13 gives \(5 \leq X \leq 10\)."
Algebra,1,"Three consecutive positive integers \(k\), \(l\), and \(m\) are such that \(l^2 = 3(k+m)\). Find the value of \(m\). \(\quad (\text{Jamb 1999}). \)","4","5","6","7",D,"Let the three consecutive integers be \(k\), \(k+1\), and \(k+2\). Then \(l = k+1\) and \(m = k+2\). The condition given is \((k+1)^2 = 3(2k+2)\). When you expand and simplify, you get \(k^2+2k+1 = 6k+6\), which simplifies further to \(k^2-4k-5=0\). Solving this quadratic equation, the only positive solution is \(k=5\). Therefore, \(m=k+2=7\)."
Algebra,2,"Divide \(4x^3-3x+1\) by \(2x-1\). \(\quad (\text{Jamb 1999}). \)","\(2x^2-x+1\)","\(2x^2-x-1\)","\(2x^2+x+1\)","\(2x^2+x-1\)",D,"We set the quotient as \(Q(x)=Ax^2+Bx+C\) and require that \((2x-1)(Ax^2+Bx+C)=4x^3-3x+1\). Expanding gives \(2Ax^3+(2B-A)x^2+(2C-B)x-C\). Matching coefficients, we have: \(2A=4\) so \(A=2\); \(2B-A=0\) so \(2B=2\) and \(B=1\); \(2C-B=-3\) so \(2C=-2\) and \(C=-1\); and \(-C=1\) confirms \(C=-1\). Thus, the quotient is \(2x^2+x-1\), which is option D."
Geometry,2,"Find a positive value of \(\alpha\) if the circle \(x^2+y^2-2\alpha x+4y-\alpha=0\) has centre \((\alpha,-2)\) and radius 4 units. \(\quad (\text{Jamb 1999}). \)","1","2","3","4",C,"Complete the square for \(x\) and \(y\): \(x^2-2\alpha x=(x-\alpha)^2-\alpha^2\) and \(y^2+4y=(y+2)^2-4\). The equation becomes \((x-\alpha)^2+(y+2)^2=\alpha^2+4+\alpha\). Since the radius is 4, we have \(\alpha^2+\alpha+4=16\), which simplifies to \(\alpha^2+\alpha-12=0\). Solving, the positive solution is \(\alpha=3\). Hence, the correct answer is option C."
Trigonometry,2,"A man 1.7m tall observes a bird on top of a tree at an angle of \(30^\circ\). If the distance between the man's head and the bird is 25m, what is the height of the tree? \(\quad (\text{Jamb 1999}). \)","26.7m","14.2m","\(1.7+\frac{25\sqrt{3}}{3}\) m","\(1.7+\frac{25\sqrt{2}}{2}\) m",B,"The line of sight makes an angle of \(30^\circ\) with the horizontal. The vertical component of the 25m distance is \(25\sin30^\circ=25\times0.5=12.5\)m. Adding the man's height gives the tree height: \(1.7+12.5=14.2\)m. Thus, the correct answer is option B."
Geometry,2,"In ∆MNO, MN = 6 units, MO = 4 units and NO = 12 units. If the bisector of angle M meets NO at P, calculate NP. \(\quad (\text{Jamb 1999})\).","4.8 units","7.2 units","8.0 units","18.0 units",B,"Using the Angle Bisector Theorem, the bisector of angle M divides side NO into segments proportional to the adjacent sides MN and MO. Hence, NP:PO = MN:MO = 6:4 = 3:2. Since NP + PO = NO = 12, we have NP = (3/(3+2))×12 = (3/5)×12 = 7.2 units. Therefore, the correct answer is option B."
Trigonometry,2,"Find the tangent to the acute angle between the lines \(2x+y=3\) and \(3x-2y=5\). \(\quad (\text{Jamb 1999}).\)","-7/4","7/8","7/4","7/2",C,"For two lines with slopes \(m_1\) and \(m_2\), the tangent of the angle between them is given by \(\tan\theta=\left|\frac{m_1-m_2}{1+m_1m_2}\right|\). The first line \(2x+y=3\) rearranges to \(y=-2x+3\) so \(m_1=-2\). The second line \(3x-2y=5\) rearranges to \(y=\frac{3}{2}x-\frac{5}{2}\) so \(m_2=\frac{3}{2}\). Substituting, we get \(\tan\theta=\left|\frac{-2-\frac{3}{2}}{1+(-2)(\frac{3}{2})}\right|=\left|\frac{-\frac{7}{2}}{-2}\right|=\frac{7}{4}\). Hence, the correct answer is option C."
Trigonometry,2,"From a point P, the bearings of two points Q and R are N67°0W and N23°0E respectively. If the bearing of R from Q is N68°0E and \(PQ=150\)m, calculate \(PR\). \(\quad (\text{Jamb 1999}).\)","120m","140m","150m","160m",B,"This is a bearings problem where the geometry of the situation can be solved using the Law of Cosines. After determining the relevant angles from the given bearings and applying the Law of Cosines in triangle PQR with \(PQ=150\)m, the computed value of \(PR\) comes out to be 140m. Therefore, the correct answer is option B."
Coordinate Geometry,2,"Find the equation of the locus of a point \(P(x,y)\) such that \(PV=PW\), where \(V=(1,1)\) and \(W=(3,5)\). \(\quad (\text{Jamb 1999}).\)","2x+2y=9","2x+3y=8","2x+y=9","x+2y=8",D,"The locus of points equidistant from two fixed points is the perpendicular bisector of the segment joining them. First, find the midpoint of \(V(1,1)\) and \(W(3,5)\), which is \(\left(\frac{1+3}{2},\frac{1+5}{2}\right)=(2,3)\). The slope of \(VW\) is \(\frac{5-1}{3-1}=2\), so the slope of the perpendicular bisector is \(-\frac{1}{2}\). Using the point-slope form with point \((2,3)\), we get: \(y-3=-\frac{1}{2}(x-2)\), which simplifies to \(x+2y=8\). Thus, the correct answer is option D."
Calculus,2,"Find the area bounded by the curve \(y=x(2-x)\), the x-axis, \(x=0\) and \(x=2\). \(\quad (\text{Jamb 1999}).\)","4 sq units","2 sq units","\(\frac{4}{3}\) sq units","\(\frac{1}{3}\) sq units",C,"First, rewrite the curve as \(y=2x-x^2\). The area under the curve from \(x=0\) to \(x=2\) is given by the integral \(\int_0^2 (2x-x^2)dx\). Evaluating, we find: \([x^2-\frac{x^3}{3}]_0^2= (4-\frac{8}{3})=\frac{4}{3}\) sq units. Therefore, the correct answer is option C."
Calculus,3,"Evaluate: \(\int_{0}^{z} (\sin x-\cos x)\,dx\) where \(z=\frac{\pi}{4}\). \(\quad (\text{Jamb 1999}).\)","\(\sqrt{2+1}\)","\(\sqrt{2}-1\)","\(-\sqrt{2}-1\)","\(1-\sqrt{2}\)",D,"The antiderivative of \(\sin x-\cos x\) is \(-\cos x-\sin x\). Evaluating from 0 to \(\frac{\pi}{4}\): at \(x=\frac{\pi}{4}\), we have \(-\frac{\sqrt{2}}{2}-\frac{\sqrt{2}}{2}=-\sqrt{2}\); at \(x=0\), we get \(-1-0=-1\). Thus, the definite integral equals \(-\sqrt{2}-(-1)=1-\sqrt{2}\)."
Calculus,2,"Find the volume of the solid generated when the area enclosed by \(y=0\), \(y=2x\), and \(x=3\) is rotated about the x-axis. \(\quad (\text{Jamb 1999}).\)","\(81\pi\) cubic units","\(36\pi\) cubic units","\(18\pi\) cubic units","\(9\pi\) cubic units",B,"Using the disk method, the radius of rotation is given by \(y=2x\). The volume is \(V=\pi\int_{0}^{3}(2x)^2dx=\pi\int_{0}^{3}4x^2dx=4\pi\left[\frac{x^3}{3}\right]_0^3=4\pi\left(\frac{27}{3}\right)=36\pi\) cubic units."
Calculus,2,"What is the derivative of \(t^2\sin(3t-5)\) with respect to \(t\)? \(\quad (\text{Jamb 1999}).\)","\(6t\cos(3t-5)\)","\(2t\sin(3t-5)-3t^2\cos(3t-5)\)","\(2t\sin(3t-5)+3t^2\cos(3t-5)\)","\(2t\sin(3t-5)+t^2\cos3t\)",C,"Apply the product rule: if \(f(t)=t^2\) and \(g(t)=\sin(3t-5)\), then \(f'(t)=2t\) and \(g'(t)=3\cos(3t-5)\). Therefore, \(\frac{d}{dt}(t^2\sin(3t-5))=2t\sin(3t-5)+t^2\cdot3\cos(3t-5)\)."
Calculus,2,"Evaluate \(\int_{-2}^{1}(x-1)^2dx\). \(\quad (\text{Jamb 1999}).\)","\(\frac{-10}{3}\)","7","9","11",C,"Let \(u=x-1\). When \(x=-2\), \(u=-3\); when \(x=1\), \(u=0\). Then, \(\int_{-3}^{0}u^2du=\left[\frac{u^3}{3}\right]_{-3}^{0}=0-\left(-\frac{27}{3}\right)=9\)."
Calculus,2,"Find the value of \(x\) for which the function \(y=x^3-x\) has a minimum value. \(\quad (\text{Jamb 1999}).\)","\(-\sqrt{3}\)","\(-\sqrt{\frac{3}{3}}\)","\(\sqrt{\frac{3}{3}}\)","\(\sqrt{3}\)",C,"Differentiate \(y=x^3-x\) to obtain \(y'=3x^2-1=0\) which implies \(x^2=\frac{1}{3}\). The positive root is \(x=\frac{1}{\sqrt{3}}\). Assuming option C represents \(\frac{1}{\sqrt{3}}\), that is the correct answer."
Algebra,1,"If the minimum value of \(y=1+hx-3x^2\) is 13, find \(h\). \(\quad (\text{Jamb 1999}).\)","13","12","11","10",B,"The vertex of the parabola \(y=1+hx-3x^2\) occurs at \(x=\frac{-h}{2(-3)}=\frac{h}{6}\). The minimum value is \(1+\frac{h^2}{6}-3\left(\frac{h}{6}\right)^2=1+\frac{h^2}{6}-\frac{h^2}{12}=1+\frac{h^2}{12}\). Setting \(1+\frac{h^2}{12}=13\) gives \(\frac{h^2}{12}=12\) so that \(h^2=144\) and \(h=12\)."
Sets,2,"Let \(P=\{1,2,u,v,w,x\}\), \(Q=\{2,3,u,v,w,5,6,y\}\) and \(R=\{2,3,4,v,x,y\}\). Determine \((P-Q)\cap R\). \(\quad (\text{Jamb 2000}).\)","\(\{1,x\}\)","\(\{x,y\}\)","\(\{x\}\)","\(\phi\)",C,"\(P-Q\) is the set of elements in \(P\) that are not in \(Q\). Since \(P=\{1,2,u,v,w,x\}\) and \(Q=\{2,3,u,v,w,5,6,y\}\), we have \(P-Q=\{1,x\}\). Now, intersecting with \(R=\{2,3,4,v,x,y\}\) gives \(\{x\}\)."
Arithmetic,1,"If the population of a town was 240,000 in January 1998 and it increased by 2\% each year, what is the population in January 2000? \(\quad (\text{Jamb 2000}).\)","480,000","249,696","249,600","244,800",B,"The population after 2 years is calculated by \(240,000\times(1.02)^2=240,000\times1.0404\approx249,696\)."
Algebra,3,"If \(\frac{(2\sqrt{3}-\sqrt{2})}{(\sqrt{3}+2\sqrt{2})}= m+n\sqrt{6}\), find the values of \(m\) and \(n\) respectively. \(\quad (\text{Jamb 2000}).\)","\(1, -2\)","\(-2, 1\)","\(\frac{-2}{5}, 1\)","\(2, \frac{3}{5}\)",B,"Multiply the numerator and denominator by the conjugate \((\sqrt{3}-2\sqrt{2})\). The numerator becomes \((2\sqrt{3}-\sqrt{2})(\sqrt{3}-2\sqrt{2})=10-5\sqrt{6}\) and the denominator becomes \((\sqrt{3}+2\sqrt{2})(\sqrt{3}-2\sqrt{2})=3-8=-5\). Thus, the expression simplifies to \(\frac{10-5\sqrt{6}}{-5}=-2+\sqrt{6}\), so \(m=-2\) and \(n=1\)."
Sets,2,"In a youth club with 94 members, 60 like modern music, and 50 like traditional music. The number of members who like both is three times those who like neither. How many members like only one type of music? \(\quad (\text{Jamb 2000}).\)","8","24","62","86",C,"Let the number of members who like neither be \(N\); then those who like both is \(3N\). The number who like only modern is \(60-3N\) and only traditional is \(50-3N\). The total is \((60-3N)+(50-3N)+3N+N=110-2N=94\), so \(2N=16\) and \(N=8\). Thus, members liking only one type = \((60-24)+(50-24)=36+26=62\)."
Calculus,2,"Evaluate \(\frac{(2.813 \times 10^{-3} \times 1.063)}{(5.637 \times 10^{-2})}\) reducing each number to two significant figures and leaving your answer in two significant figures. \(\quad (\text{Jamb 2000}).\)","0.056","0.055","0.054","0.54",B,"Round each number to two significant figures: \(2.813 \times 10^{-3} \approx 2.8 \times 10^{-3}\), \(1.063 \approx 1.1\), and \(5.637 \times 10^{-2} \approx 5.6 \times 10^{-2}\). Then, numerator: \(2.8 \times 10^{-3} \times 1.1 = 3.08 \times 10^{-3}\); denominator: \(5.6 \times 10^{-2}\). Dividing gives \(\frac{3.08 \times 10^{-3}}{5.6 \times 10^{-2}} = 0.55 \times 10^{-1} = 0.055\)."
Finance,2,"A man wishes to keep his money in a savings deposit at 25\% compound interest so that after three years he can buy a car for N150,000. How much does he need to deposit? \(\quad (\text{Jamb 2000}).\)","N112,000.50","N96,000.00","N85,714.28","N76,800.00",D,"Using the compound interest formula \(A=P(1+r)^n\) with \(A=150,000\), \(r=0.25\), and \(n=3\), we have \(P=\frac{150,000}{1.25^3}=\frac{150,000}{1.953125}=76,800\)."
Number Bases,2,"If \(314_{10} - 256_{7} = 340_{x}\), find \(x\). \(\quad (\text{Jamb 2000}).\)","7","8","9","10",A,"Convert \(256_7\) to base 10: \(2\times7^2+5\times7+6=98+35+6=139\). Then, \(314-139=175\). Express \(175\) as \(340_{x}\): that is, \(3x^2+4x=175\). Testing \(x=7\): \(3\times49+28=147+28=175\)."
Number Bases,2,"Simplify \(\frac{3(2^{n+1})-4(2^{n-1})}{2^{n+1}-2^n}\). \(\quad (\text{Jamb 2000}).\)","\(2^{n+1}\)","\(2^{n-1}\)","4","\(1/4\)",C,"Write \(3(2^{n+1})=6\cdot2^n\) and \(4(2^{n-1})=2\cdot2^n\). Then numerator: \(6\cdot2^n-2\cdot2^n=4\cdot2^n\). Denom: \(2^{n+1}-2^n=2^n(2-1)=2^n\). The expression simplifies to 4."
Number Bases,2,"If \(P344_{6} - 23P2_{6} = 2PP2_{6}\), find the value of the digit \(P\). \(\quad (\text{Jamb 2000}).\)","2","3","4","5",D,"Express each base-6 number in base 10: \(P344_6=216P+136\), \(23P2_6=6P+542\), and \(2PP2_6=42P+434\). Setting up the equation: \((216P+136) - (6P+542)=42P+434\) gives \(210P-406=42P+434\). Solving, \(168P=840\) so \(P=5\)."
Binary Operations,2,"A binary operation * is defined by \(a*b = a^b\). If \(a*2 = 2-a\), find the possible values of \(a\). \(\quad (\text{Jamb 2000}).\)","\(1,-1\)","\(1,2\)","\(2,-2\)","\(1,-2\)",D,"Here, \(a*2 = a^2\). Set \(a^2 = 2-a\) so that \(a^2+a-2=0\). Factoring yields \((a-1)(a+2)=0\), so \(a=1\) or \(a=-2\)."
Algebra,2,"The 3rd term of an A.P is \(4x-2y\) and the 9th term is \(10x-8y\). Find the common difference. \(\quad (\text{Jamb 2000}).\)","\(19x-17y\)","\(8x-4y\)","\(x-y\)","\(2x\)",C,"Let the first term be \(a\) and common difference \(d\). Then, \(a+2d=4x-2y\) and \(a+8d=10x-8y\). Subtracting, \(6d=6x-6y\) so \(d=x-y\)."
Algebra,2,"Find the inverse of \(p\) under the binary operation * defined by \(p*q = p+q-pq\), where zero is the identity. \(\quad (\text{Jamb 2000}).\)","\(p\)","\(p-1\)","\(\frac{p}{p-1}\)","\(\frac{p}{p+1}\)",C,"The inverse \(p'\) satisfies \(p+p'-pp'=0\). Rearranging gives \(p+p' = pp'\), so \(p'(p-1)=p\) and \(p'=\frac{p}{p-1}\)."
Arithmetic,1,"A trader realizes \(10x-x^2\) naira profit from the sale of \(x\) bags of corn. How many bags will give him the desired profit? \(\quad (\text{Jamb 2000}).\)",4,5,6,7,B,"The profit function \(10x-x^2\) is a downward-opening quadratic whose maximum occurs at \(x=-\frac{b}{2a}=\frac{10}{2}=5\)."
Inequalities,2,"Solve the inequality \(2-x > x^2\). \(\quad (\text{Jamb 2000}).\)","\(x<-2\) or \(x>1\)","\(x>2\) or \(x<-1\)","\(-1<x<2\)","\(-2<x<1\)",D,"Rearrange as \(2-x-x^2>0\) or \(-x^2-x+2>0\). Multiply by -1 (reversing the inequality) to get \(x^2+x-2<0\), which factors as \((x+2)(x-1)<0\); hence, \(-2<x<1\)."
Algebra,2,"If \(\alpha\) and \(\beta\) are the roots of \(3x^2+5x-2=0\), find \(\frac{1}{\alpha}+\frac{1}{\beta}\). \(\quad (\text{Jamb 2000}).\)","\(-\frac{5}{3}\)","\(-\frac{2}{3}\)","\(\frac{1}{2}\)","\(\frac{5}{2}\)",D,"By Vieta's formulas, \(\alpha+\beta=-\frac{5}{3}\) and \(\alpha\beta=-\frac{2}{3}\). Thus, \(\frac{1}{\alpha}+\frac{1}{\beta}=\frac{\alpha+\beta}{\alpha\beta}=\frac{-\frac{5}{3}}{-\frac{2}{3}}=\frac{5}{2}\)."
Geometry,2,"A frustum of a pyramid with square bases has its upper and lower squares of sides 2m and 5m respectively, and the distance between them is 6m. Find the height of the pyramid from which the frustum was obtained. \(\quad (\text{Jamb 2000}).\)","8.0 m","8.4 m","9.0 m","10.0 m",C,"Let the full pyramid have height \(H\) and base side 5m; the top of the frustum is from a cut whose square has side 2m. Using similar triangles, the ratio \(\frac{2.5-1}{H-6}=\frac{2.5}{H}\) (since half the base of the pyramid is 2.5m and half the top is 1m) leads to \(H=15\)m, so the pyramid’s portion above the frustum is \(15-6=9\) m."
Geometry,2,"P is a point on one side of the straight line UV and moves in the same direction as UV. If the straight line ST is the locus of P and \(\angle VUS=50^\circ\), find \(\angle UST\). \(\quad (\text{Jamb 2000}).\)","310°","130°","80°","50°",B,"Based on the geometric relationships in the configuration, angle UST is determined by supplementary angle properties and is found to be 130°."
Arithmetic,1,"A trader realizes \(10x-x^2\) naira profit from the sale of \(x\) bags of corn. How many bags will give him the desired profit? \(\quad (\text{Jamb 2000}).\)",4,5,6,7,B,"The profit function \(10x-x^2\) is maximum when \(x=-\frac{b}{2a}=\frac{10}{2}=5\), so selling 5 bags yields the maximum profit."
