question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
CHM-0025,JAMB,Chemistry,Acids/Bases/Salts,Acid Radicals,medium,2025,,Acid radicals are present in,,"\(CO_3^{2-}\), \(PO_4^{3-}\), \(Mg^{2+}\)","\(CO_3^{2-}\), \(SO_4^{2-}\), \(Na^+\)","\(CO_3^{2-}\), \(SO_4^{2-}\), \(NO_3^-\)","\(CO_3^{2-}\), \(SO_4^{2-}\), \(K^+\)",C,,jamb|2025,past-question,active
CHM-0026,JAMB,Chemistry,Chemical Bonding,Covalent Bonding,medium,2025,,What accounts for the low melting and boiling points of covalent molecules?,,They have weak intermolecular forces,They have definite shapes,They are three dimensional structures,They possess shared electron pairs,A,,jamb|2025,past-question,active
CHM-0027,JAMB,Chemistry,Metallurgy,Extraction of Iron,medium,2025,,Iron produced directly from a blast furnace is,,wrought iron,cast iron,pig iron,carbon steel,C,,jamb|2025,past-question,active
CHM-0028,JAMB,Chemistry,Stoichiometry,Molar Mass,medium,2025,,"What is the molecular mass of an alkanoic acid, if 0.5 mole of the acid weighs 44g?",,72,88,60,46,B,Molar mass \(= \frac{44g}{0.5\ mol} = 88\ g/mol\).,jamb|2025,past-question,active
CHM-0029,JAMB,Chemistry,Organic Chemistry,Alkenes,medium,2025,,Alkenes are represented with the general molecular formula,,\(C_nH_{2n}\),\(C_nH_{2n-2}\),\(C_nH_{2n+2}\),\(C_nH_{2n+1}OH\),A,,jamb|2025,past-question,active
CHM-0030,JAMB,Chemistry,Organic Chemistry,Addition Reactions,medium,2025,,The major product when 2-methylpropene reacts with HCl is,,"2-chloro, 2-methylpropane","1-chloro,2-methylpropane","3-chloro, 2-methylpropane","2-chloro,3-methylbutane",A,,jamb|2025,past-question,active
CHM-0031,JAMB,Chemistry,Gases,Chlorine Preparation,medium,2025,,"In the laboratory preparation of Chlorine, the gas is passed through a wash bottle of water to",,dilute it,absorb HCl gas,neutralize it,absorb the \(Cl_2\) gas,B,,jamb|2025,past-question,active
CHM-0032,JAMB,Chemistry,Organic Chemistry,Carbohydrates,medium,2025,,"Carbohydrates can generally be represented by the general formula \(C_x(H_2O)_y\), for fructose the value for \""X\"" is",,3,12,5,6,D,,jamb|2025,past-question,active
CHM-0033,JAMB,Chemistry,States of Matter,Diffusion,medium,2025,,"If a gold bar and a silver bar are tied together firmly and left for years, some of the gold particles will be found in the silver bar due to",,Brownian movement,diffusion,displacement,osmosis,B,,jamb|2025,past-question,active
CHM-0034,JAMB,Chemistry,Metallurgy,Occurrence of Metals,medium,2025,,A metal that can be found in the free state in nature is,,silver,Zinc,Iron,copper,A,,jamb|2025,past-question,active
CHM-0035,JAMB,Chemistry,Organic Chemistry,Boiling Points / Hydrogen Bonding,medium,2025,,Which of the following has the highest boiling point?,,\(CH_3CH_2OH\),\(CH_3CH_2CH_2Cl\),\(CH_3CH_2CH_2CH_2CH_2CH_3\),\(CH_3CH_2CH_2OH\),D,,jamb|2025,past-question,active
CHM-0036,JAMB,Chemistry,Solutions and Mixtures,Solubility Curves,medium,2025,,"From the graph, it can be inferred that",,the solubility of X and Y is the same at all temperature,"the solubility of X, Y and Z is temperature dependent",solubility of Z increases as temperature increases,solubility of Y increases steadily as temperature increases,D,,jamb|2025,past-question,active
CHM-0037,JAMB,Chemistry,Gases,Fountain Experiment,medium,2025,,The gas that is commonly used to demonstrate the fountain experiment is,,hydrogen chloride,hydrogen sulphide,dinitrogen(I) oxide,nitrogen(II) oxide,A,,jamb|2025,past-question,active
CHM-0038,JAMB,Chemistry,Water Chemistry,Hard Water,medium,2025,,Which of the following statements is false about hard water?,,Helps animals to build strong teeth,Cannot be supplied in pipes made of leads,Tastes better than soft water,Helps animals to build strong bones.,B,,jamb|2025,past-question,active
CHM-0039,JAMB,Chemistry,Stoichiometry,Empirical Formula Mass,medium,2025,,"The empirical mass of \(C_6H_{12}O_6\) is [H =1, C = 12, O = 16]",,90,180,45,30,D,,jamb|2025,past-question,active
CHM-0040,JAMB,Chemistry,Environmental Chemistry,Nitrogen Cycle,medium,2025,,The nitrogenous compound in dead materials in the soil is converted to,,ammonia,trioxonitrate(V),ammonium salts,dioxonitrate(III),A,,jamb|2025,past-question,active
CHM-0041,JAMB,Chemistry,Organic Chemistry,Alkynes / Nomenclature,medium,2025,,"\(CH_3C\equiv CCH(CH_3)_2\)

The IUPAC nomenclature of the compound above is",,3-ethyl but-2-yne,4-methylpent-2-yne,2-ethyl but-2-yne,2-methyl pent-2-yne,B,,jamb|2025,past-question,active
CHM-0042,JAMB,Chemistry,Gases,Oxygen Preparation,medium,2025,,"In the laboratory preparation of oxygen using potassium trioxochlorate(V), tetraoxomanganate (VII), usually not recommended in modern laboratory because",,it forms explosive mixture with carbonaceous materials,it is explosive.,it reacts with the catalyst,it is hazardous,A,,jamb|2025,past-question,active
CHM-0043,JAMB,Chemistry,Chemical Bonding,Coordination Compounds,medium,2025,,The type of bond between copper(II) tetraamine and chlorine in \([Cu(NH_3)_4]Cl_2\),,dative,van der waals,ionic,covalent,C,,jamb|2025,past-question,active
CHM-0044,JAMB,Chemistry,Redox Reactions,Reducing Agents,medium,2025,,"\(Mg_{(s)} + 2HCl_{(aq)} \rightarrow MgCl_2{}_{(aq)} + H_2{}_{(g)}\)

In the reaction above, magnesium is a reducing agent because",,oxidized,reduced,a metal,a solid,A,,jamb|2025,past-question,active
CHM-0045,JAMB,Chemistry,Physical and Chemical Changes,,medium,2025,,An example of a physical change is,,addition of water to calcium oxide,corrosion of iron,dissolving sodium chloride in water,burning of charcoal,C,,jamb|2025,past-question,active
CHM-0046,JAMB,Chemistry,Gases,Composition of Air,medium,2025,,"When a sample of air is passed through alkaline pyrogalol, potash and finally through U-tube containing fused calcium chloride, the components of air left unabsorbed are",,nitrogen and carbon(IV)oxide,noble gases and carbon(IV)oxide,noble gases and nitrogen,"noble gases, nitrogen and carbon(IV) oxide",C,,jamb|2025,past-question,active
CHM-0047,JAMB,Chemistry,Atomic Structure,Electron Configuration,medium,2025,,An atom of element with the configuration \(1S^2 2S^2 2P^6 3S^2 3P^5\) is likely to belong to,,group 7,group 5,group 2,group 3,A,,jamb|2025,past-question,active
CHM-0048,JAMB,Chemistry,Chemical Bonding,Polar Covalent Bonds,medium,2025,,A molecule with a polar covalent bond between atoms exhibits,,unequal sharing of electron pair,equal sharing of electron pair,equal sharing of electron lone pair,unequal sharing of electron lone pair,A,,jamb|2025,past-question,active
CHM-0049,JAMB,Chemistry,Electrochemistry,Cell Notation,medium,2025,,"\(Mg + Pb^{2+} \rightarrow Mg^{2+} + Pb\)

What is the cell notation for the cell reaction above?",,Mg|\(Pb^{2+}\)||\(Mg^{2+}\)|Pb,Mg|\(Mg^{2+}\)||Pb|\(Pb^{2+}\),Mg|\(Mg^{2+}\)||\(Pb^{2+}\)|Pb,Mg|\(Mg^+\)||Pb|\(Pb^+\),C,,jamb|2025,past-question,active
CHM-0050,JAMB,Chemistry,Gases,Graham's Law of Diffusion,medium,2025,,"The correct arrangement of gases in the order of increasing rate of diffusion is [H = 1, C = 12, N = 14, O = 16, S = 32]",,"\(CO_2\), \(H_2\), \(SO_2\), \(CO\)","\(SO_2\), \(O_2\), \(NH_3\), \(H_2\)","\(NH_3\), \(NO_2\), \(N_2\), \(CO_2\)","\(CO_2\), \(NH_3\), \(O_2\), \(SO_2\)",B,,jamb|2025,past-question,active
CHM-0051,JAMB,Chemistry,Acids/Bases/Salts,pH and Indicators,medium,2025,,"In a series of solutions with pH of 2.5, 3.5, 7.0 and 8.0, which is likely to turn red moist litmus paper blue?",,3.5,8.0,2.5,7.0,B,,jamb|2025,past-question,active
CHM-0052,JAMB,Chemistry,Metallurgy,Corrosion,medium,2025,,The process by which iron corrodes is,,rusting,burning,galvanizing,alloying,A,,jamb|2025,past-question,active
CHM-0053,JAMB,Chemistry,Stoichiometry,Solubility Calculations,medium,2025,,"On heating 12.5g of saturated solution to dryness at \(60^0C\), 2g of anhydrous salt was recovered, calculate its solubility in grams per 100g of water.",,16.0,4.0,2.0,20.0,D,"Solvent \(= 12.5g - 2g = 10.5g\); solubility \(= \frac{2}{10.5} \times 100 \approx 19.05\), rounded to nearest option, 20.0g per 100g water.",jamb|2025,past-question,active
CHM-0054,JAMB,Chemistry,Organic Chemistry,Substitution Reactions,medium,2025,,The reaction above is,,neutralization,substitution,polymerization,oxidation,B,,jamb|2025,past-question,active
CHM-0055,JAMB,Chemistry,Electrochemistry,Electrolysis of Brine,medium,2025,,The gas produced at the cathode during electrolysis of brine is,,steam,chlorine,oxygen,hydrogen,D,,jamb|2025,past-question,active
CHM-0056,JAMB,Chemistry,Acids/Bases/Salts,Salt Hydrolysis,medium,2025,,An example of a salt that can dissolve in water to form a solution with a pH of 7.,,sodium chloride,ammonium chloride,ammonium tetraoxosulphate(VI),sodium trioxocarbonate(IV),A,,jamb|2025,past-question,active
CHM-0057,JAMB,Chemistry,Thermodynamics,Spontaneity of Reactions,medium,2025,,"\(PCl_5{}_{(g)} \rightarrow PCl_3{}_{(s)} + Cl_2{}_{(g)}\)

In the equation above, the reaction will be spontaneous if",,\(\Delta H\) = constant,\(\Delta H\) = + ve,\(\Delta H\) = zero,\(\Delta H\) = - ve,D,,jamb|2025,past-question,active
