question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
GEO-0033,JAMB,Geography,Physical Geography,Earth's Motions,medium,2025,,The length of a year is 365\(\frac{1}{4}\) days because that is the time it takes.,,the sun to revolve around its orbit,the moon to revolve once around the earth,the earth to revolve once round the sun,the earth to rotate on its axis,C,,jamb|2025,past-question,active
GEO-0034,JAMB,Geography,Map Reading,Gradient Calculation,hard,2025,,Which of the following gradients is the steepest?,,1 in 134,1 in 351,1 in 153,1 in 531,C,,jamb|2025,past-question,active
GEO-0035,JAMB,Geography,Physical Geography,River Processes,medium,2025,,"When the gradient of a river channel changes from a steep to a gentle angle, the main activity of the river will be",,eroding,depositing,terracing,deepening,B,,jamb|2025,past-question,active
GEO-0036,JAMB,Geography,Economic Geography,Africa Mineral Exports,medium,2025,,Which one of the following countries has an export trade which is dominated by a single mineral?,,Zambia,Central Africa Empire,Kenya,Uganda,A,,jamb|2025,past-question,active
GEO-0037,JAMB,Geography,Physical Geography,Lake Formation,medium,2025,,Which of the following lakes owes its origin mainly to faulting?,,Lake Superior,Lake Victoria,Lake Malawi,Lake Chad,C,,jamb|2025,past-question,active
GEO-0038,JAMB,Geography,Map Reading,Scale Calculation,hard,2025,,"If a map at a scale of 1:50,000 is reduced by half, what is the new scale of the map?",,"1:100,000","1:25,000","1:200,000","1:250,000",B,,jamb|2025,past-question,active
GEO-0039,JAMB,Geography,Physical Geography,River Erosion,medium,2025,,The wearing away of the sides and bottom of a river's channel is called,,attrition,corrosion action,corrosion,hydraulic action,D,,jamb|2025,past-question,active
GEO-0040,JAMB,Geography,Economic Geography,Ocean Trade Routes,medium,2025,,The greatest volume of shipping across the Atlantic Ocean is,,between Europe and North America,between Africa and South America,between Africa and North America,between North America and South America,A,,jamb|2025,past-question,active
GEO-0041,JAMB,Geography,Economic Geography,Industrial Location,medium,2025,,Which of the following provides the best location for a bakery?,,Near a large market for bread,Near a regular source of flour,In an area of cheap labour,Near a source of good clean water,A,,jamb|2025,past-question,active
GEO-0042,JAMB,Geography,Regional Geography of Nigeria/West Africa,Kainji Dam,medium,2025,,Which purpose is NOT served by the Kainji Dam?,,provision of research facilities,provision of water of domestic use all over Nigeria,provision of fishing facilities,generation of electricity for use all over Nigeria,D,,jamb|2025,past-question,active
