question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,option_e,correct_option,explanation,tags,source,status,source_pdf,source_page,pdf_question_number,needs_answer_key,needs_option_review,needs_image_review
MTH-1983-011,JAMB,Mathematics,Past Questions,,medium,1983,,"Make T the subject of the equation
av = 2V + T
3
1- V a 2T",,3av/(1-v),2v(1-v)2 - a2v2/2a2v2 - (1-V)2,2v(1 - v)2 + a3v2/ 2a2v2 + (1 - v)2,2v(1 - v)2 - a4v3/2a3v3 - (1 - v)3,2v(1-v)3 - a4v3/2a3v3 + (1-v)3,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,11,yes,no,no
MTH-1983-012,JAMB,Mathematics,Past Questions,,medium,1983,,"Additional
Mathematics
(2x-24)O Biology
(3x-18)O
xO
Geography
(2x+12)O
(x+12)O History
French
In a class of 60 pupils, the statistical distribution of the
number of pupils offering Biology, History, French,
Geography and Additional Mathematics is as shown in
the pie chart above. How many pupils offer Additional
Mathematics?",,15,10,18,12,28,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,12,yes,no,yes
MTH-1983-013,JAMB,Mathematics,Past Questions,,medium,1983,,The value of (0.303)3 – (0.02)3 is,,0.019,0.0019,0.00019,0.000019,0.000035,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,13,yes,no,no
MTH-1983-014,JAMB,Mathematics,Past Questions,,medium,1983,,"y varies partly as the square of x and y partly as the
inverse of the square root of x. write down the
expression for y if y = 2 when x = 1 and y = 6 when x =
4",,y = 10x2 + 52,y = x2 + 1,,,,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,14,yes,yes,no
MTH-1983-031,JAMB,Mathematics,Past Questions,,medium,1983,,31x x,,,,y = x2 + 1,y = x2 + 1,"y = 10 (x2 + 1 )
x 31 31 x 31( x)",,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,31,yes,yes,no
MTH-1983-015,JAMB,Mathematics,Past Questions,,medium,1983,,Simplify (x – 7) / (x2 – 9) ( x2 – 3x)/( x2 - 49),,x/(x- 3)(x + 7),(x+3)(x + 7)/x,x/(x- 3) (x-,,,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,15,yes,yes,no
MTH-1983-016,JAMB,Mathematics,Past Questions,,medium,1983,,"The lengths of the sides of a right-angled triangle at (3x
+ 1)cm, (3x - 1)cm and x cm.",,2,6,18,12,0,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,16,yes,no,no
MTH-1983-017,JAMB,Mathematics,Past Questions,,medium,1983,,"The scores of a set of a final year students in the first
semester examination in a paper are
41,29,55,21,47,70,70,40,43,56,73,23,50,50. find themedian
of the scores.",,47,481/,"50
2",48,49,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,17,yes,no,no
MTH-1983-019,JAMB,Mathematics,Past Questions,,medium,1983,,"x G
30O
K
F
The above figure FGHK is a rhombus. What is the value
of the angle x?",,900,300,1500,1200,"600
S
0-8 m",,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,3,19,yes,no,no
MTH-1983-020,JAMB,Mathematics,Past Questions,,medium,1983,,"P
0
R
2 m
Q
30O
PQRS is a desk of dimensions 2m x 0.8m which is inclined
at 300 to the horizontal. Find the inclination of the
diagonal PR to the horizontal.",,23035’,300,15036’,100,10042’,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,3,20,yes,no,no
MTH-1983-021,JAMB,Mathematics,Past Questions,,medium,1983,,"Find x if (x )2 = 100 1000
base 4 base 2",,6,12,100,210,110,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,3,21,yes,no,no
MTH-1983-022,JAMB,Mathematics,Past Questions,,medium,1983,,Simplify log,,,,,,,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,3,22,yes,yes,no
MTH-1983-023,JAMB,Mathematics,Past Questions,,medium,1983,,"If w varies inversely as V and u varies directly as w3,
find the relationship between u and V given that u = 1,
when V = 2",,u= 8V3,u = 2 V,V = 8/u2,V= 8u2,U= 8/v3,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,3,23,yes,no,no
MTH-1983-024,JAMB,Mathematics,Past Questions,,medium,1983,,"Solve the simultaneous equations for x
x2 + y – 8 = 0
y + 5x – 2 = 0",,"–28,7","6,-28","6,-1","–1, 7","3,2",,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,3,24,yes,no,no
MTH-1983-025,JAMB,Mathematics,Past Questions,,medium,1983,,"Find the missing value in the following table.
x -2 -1 0 1 2 3
3O
y = x - x + 3 3 3 3 9 27",,-3,3,–9,13,9,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,3,25,yes,no,no
MTH-1983-026,JAMB,Mathematics,Past Questions,,medium,1983,,"O
xO
130O
If O is the centre of the circle in the figure above. Find
the value of x",,50,260,100,65,130,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,3,26,yes,no,yes
MTH-1983-027,JAMB,Mathematics,Past Questions,,medium,1983,,"Find the angle of the sectors representing each item in
a pie chart of the following data. 6,10,14,16,26",,"150, 250,350,400,650,","600,1000,1400,1600,2600","60, 100,140,160,260,","300,500,700,800,1300",None of the above,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,3,27,yes,no,yes
MTH-1983-028,JAMB,Mathematics,Past Questions,,medium,1983,,"The scores of 16 students in a Mathematics test are
65,65,55,60,60,65,60,70,75,70,65,70,60,65,65,70
What is the sum of the median and modal scores?",,125,130,140,150,137.5,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,3,28,yes,no,no
MTH-1983-029,JAMB,Mathematics,Past Questions,,medium,1983,,"The letters of the word MATRICULATION are cut and
put into a box. One of the letter is drawn at random from
the box. Find the probability of drawing a vowel.",,2/13,5/13,6/13,8/13,4/13,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,3,29,yes,no,no
MTH-1983-030,JAMB,Mathematics,Past Questions,,medium,1983,,"Correct each of the number 59.81789 and 0.0746829 to
three significant figures and multiply them, giving your
answer to three significant figures.",,4.46,4.48,4.47,4.49,4.50,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,3,30,yes,no,no
MTH-1983-032,JAMB,Mathematics,Past Questions,,medium,1983,,"If (2/3)m (3/4)n = 256/729, find thevalues of m and n",,"m = 4, n = 2","m=-4, n = -2","m= -4, n = 2","m = 4, n = -2","m=-2, n = 4",,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,3,32,yes,no,no
MTH-1983-033,JAMB,Mathematics,Past Questions,,medium,1983,,"Without using tables find the numerical value of log 49
7
+ log (1/7)
7",,1,2,3,7,0,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,3,33,yes,no,no
MTH-1983-034,JAMB,Mathematics,Past Questions,,medium,1983,,Factorize completely 81a4 – 16b4,,(3a + 2b) (2a – 3b) (9a2 + 4b2),(3a - 2b) (2a – 3b) (4a2 - 9b2),(3a - 2b) (3a – 2b) (9a2 + 4b2),(3a - 2b) (2a – 3b) (9a2 + 4b2),(3a - 2b) (2a – 3b) (9a2 - 4b2),,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,4,34,yes,no,no
MTH-1983-035,JAMB,Mathematics,Past Questions,,medium,1983,,"One interior angle of a convex hexagon is 1700 and
each of the remaining interior angles is equal to x0. find
x",,1200,1100,1050,1020,1000,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,4,35,yes,no,no
MTH-1983-036,JAMB,Mathematics,Past Questions,,medium,1983,,"PQRS is a cyclic quadrilateral in which PQ = PS. PT is a
tangent to the circle and PQ makes and angle 500 with
the tangent as shown in the figure below. What is the
size of QRS?
R
S Q
50O
T
P",,500,400,1100,800,1000,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,4,36,yes,no,yes
MTH-1983-037,JAMB,Mathematics,Past Questions,,medium,1983,,"A ship H leaves a port P and sails 30km due South.
Then it sails 60km due west. What is the bearing of H
from P?",,26034’,243026’,116034’,63026’,2400,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,4,37,yes,no,no
MTH-1983-038,JAMB,Mathematics,Past Questions,,medium,1983,,"In a sample survey of a university community the
following table shows the percentage distribution of
the number of members per household.
No of members
per household 1 2 3 4 5 6 7 8 Total
Number of
households 3 12 15 28 21 10 7 4 100",,4,3,5,4.5,None,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,4,38,yes,no,no
MTH-1983-039,JAMB,Mathematics,Past Questions,,medium,1983,,"On a square paper of length 2.524375cm is inscribed a
square diagram of length 0.524375. find the area of the
paper no covered by the diagram correct to 3 significant
figures.",,6.00cm2,6.10cm2,6.cm2,6.09cm2,4.00cm2,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,4,39,yes,no,no
MTH-1983-040,JAMB,Mathematics,Past Questions,,medium,1983,,"If f(X) = 1 + x - 1 find f(1-x)
x-1 x2-1",,1/x + 1/(x+2),x +1/(2x -1),-1/x - 1/(x-2),-1/x + 1/(x2-1),,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,4,40,yes,no,no
MTH-1983-041,JAMB,Mathematics,Past Questions,,medium,1983,,"In the figure below find PRQ
235
o
R
Q
P",,661/ 0,621/ 0,"1250
2 2",1050,650,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,4,41,yes,no,yes
MTH-1983-042,JAMB,Mathematics,Past Questions,,medium,1983,,Simplify 27a9/8,,9a2/2,9a3/2,2/3a2,2/3a2,3a3/2,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,4,42,yes,no,no
MTH-1983-043,JAMB,Mathematics,Past Questions,,medium,1983,,Okro,,,,,,,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,4,43,yes,yes,no
MTH-1983-045,JAMB,Mathematics,Past Questions,,medium,1983,,"4
Yams kg
184.5 kg
The farm yields of four crops on a piece of land in
Ondo are represented on the pie chart above. What is
the angle of the sector occupied by Okro in the chart?",,911/ 0,191/ 0,"331/ 0
2 3 3",110,910,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,4,45,yes,no,yes
MTH-1983-044,JAMB,Mathematics,Past Questions,,medium,1983,,"(x+3y)O
45O
P
Q yO R
(3x+y)O
In the figure above, PQR is a straight line. Find the
values of x and y",,x = 22.50 and y = 33.750,x = 150 and y = 52.50,x = 22.50 and y = 45.00,x = 56.250 and y = 11.50,x = 18.0 and y = 56.50,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,4,44,yes,no,yes
MTH-1983-046,JAMB,Mathematics,Past Questions,,medium,1983,,"In a triangle PQR, QR = 3cm, PR = 3cm, PQ = 3cm and
PQR = 300. find angles P and R",,P = 600 and R = 900,P = 300 and R = 1200,P = 900 and R = 600,P = 600 and R = 600,P = 450 and R = 1050,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,5,46,yes,no,no
MTH-1983-047,JAMB,Mathematics,Past Questions,,medium,1983,,"S R
130O
100O
P Q
In the above diagram if PS = SR and PQ//SR. what is the
size of PQR?",,250,500,550,650,750,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,5,47,yes,no,no
MTH-1983-048,JAMB,Mathematics,Past Questions,,medium,1983,,Find the mean of the following,,,,,,,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,5,48,yes,yes,no
MTH-1983-049,JAMB,Mathematics,Past Questions,,medium,1983,,"Q 30O
O
xO
T
xO 2xO
P
In the figure above PT is a tangent to the circle with
centre O. if PQT = 300. find the value of PTO",,30,15,"24
0 0 0",120,600,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,5,49,yes,no,yes
MTH-1983-050,JAMB,Mathematics,Past Questions,,medium,1983,,"A man drove for 4hours at a certain speed, he then
doubled his speed and drove for another 3 hours.
Altogether he covered 600km. At what speed did he
drive for the last 3 hours?",,120km/hr,60km/hr,600/7km/hr,50km/hr,100km/hr.,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,5,50,yes,no,no
MTH-1984-001,JAMB,Mathematics,Past Questions,,medium,1984,,"Simplify (2/3 – 1/5) – 1/3 of 2/5
3 – 1/
1/2",,1/7,7,1/3,3,1/5,,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,5,1,yes,no,no
MTH-1984-002,JAMB,Mathematics,Past Questions,,medium,1984,,"If 263 + 441 = 714, what number base has been used?",,12,11,10,9,8,,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,5,2,yes,no,no
MTH-1984-003,JAMB,Mathematics,Past Questions,,medium,1984,,"0.00014323/1.940000 = k x 10n where 1 £ k < 10 and n is
a whole number. The values of K and are",,7.381 and –11,..................... 2.34 and 10,3.87 and 2,................ 7.831 and –11,........................... 5.41 and –2,,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,5,3,yes,no,no
MTH-1984-004,JAMB,Mathematics,Past Questions,,medium,1984,,"P sold his bicycle to Q at a profit of 10%. Q sold it to R
for #209 at a loss of 5%. How much did the bicycle cost
P?",,#200,#196,#180,#205,#150,,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,5,4,yes,no,no
MTH-1984-005,JAMB,Mathematics,Past Questions,,medium,1984,,"If the price of oranges was raised by 1/2k per orange,
the number of oranges customer can buy for #2.40 will
be less by 16. What is the present price of an orange?",,21/ k,31/ k,"51/ k
2 2 2",20k,"211/ k
2",,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,5,5,yes,no,no
MTH-1984-006,JAMB,Mathematics,Past Questions,,medium,1984,,"A man invested a total of #50,000 in two companies. If
these companies pay dividend of 6% and 8%
respectively, how much did he invest at 8% if the total
yield is #3.700?",,"#15,000","#29,600","#21,400","#27,800","#35,000",,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,5,6,yes,no,no
MTH-1984-007,JAMB,Mathematics,Past Questions,,medium,1984,,"Thirty boys and x girls sat for a test. The mean of the
boys’ scores and that of the girls were respectively 6
and 8. find x if the total score was 468.",,38,24,36,22,41,,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,5,7,yes,no,no
MTH-1984-008,JAMB,Mathematics,Past Questions,,medium,1984,,"The cost of production of an article is made up as
follows Labour #70
Power #15
Materials #30
Miscellaneous #5
Find the angle of the sector representing labour in a pie
chart.",,2100,1050,1750,1500,900,,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,5,8,yes,no,no
MTH-1984-009,JAMB,Mathematics,Past Questions,,medium,1984,,"Bola chooses at random a number between 1 and 300.
What is the probability that the number is divisible by
4?",,1/3,¼,1/5,4/300,1/300,,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,5,9,yes,no,no
MTH-1984-010,JAMB,Mathematics,Past Questions,,medium,1984,,"Find without using logarithm tables, the value of
Log 27 – Log 64
3 1/4
Log 1/81
3",,7/4,–7/4,–3/2,7/3,–1/4,,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,6,10,yes,no,no
MTH-1984-011,JAMB,Mathematics,Past Questions,,medium,1984,,"A variable point P(x, y) traces a graph in a two
dimensional plane. (0, -3) is one position of P. If x
increases by 1 unit, y increases by 4 units. The equation
of the graph is",,-3 = y + 4/ x + 1,4y = -3 + x,y/x = -3/4,y + 3 = 4x,4y = x + 3,,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,6,11,yes,no,no
MTH-1984-012,JAMB,Mathematics,Past Questions,,medium,1984,,"A trader in a country where their currency ‘MONT’ (M)
is in base five bought 103 oranges at M14 each. If
(5) (5)
he sold the oranges at M24 each, what will be his
(5)
gain?",,M103,M1030,"M102
(5) (5) (5)",M2002,"M3032
(5) (5)",,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,6,12,yes,no,no
MTH-1984-013,JAMB,Mathematics,Past Questions,,medium,1984,,"Rationalize
(55 - 75)(/7 - 5",,-235,47 - 65,-35,47 - 85,35,,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,6,13,yes,no,no
MTH-1984-014,JAMB,Mathematics,Past Questions,,medium,1984,,"Simplify
3n – 3n – 1
33 x 3n – 27 x 3n– 1",,1,0,1/27,3n – 3n – 1,2/27,,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,6,14,yes,no,no
MTH-1984-015,JAMB,Mathematics,Past Questions,,medium,1984,,"p varies directly as the square of q an inversely as r. if
p = 36, when q = 3 and r = p, find p when q = 5 and r = 2",,72,100,90,200,125,,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,6,15,yes,no,no
MTH-1984-016,JAMB,Mathematics,Past Questions,,medium,1984,,Factorise 6x2 – 14x - 12,,2(x + 3) (3x - 2),6(x - 2) (x + 1),2(x - 3) (3x + 2),6(x + 2) (x - 1),(3x + 4) (2x + 3),,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,6,16,yes,no,no
MTH-1984-017,JAMB,Mathematics,Past Questions,,medium,1984,,"A straight line y = mx meets the curve y = x2 – 12x + 40
in two distinct points. If one of them is (5,5), find the
other",,"(5,6)","(8,8)","(8,5)","(7,7)","(7,5)",,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,6,17,yes,no,no
MTH-1984-018,JAMB,Mathematics,Past Questions,,medium,1984,,"The table below is drawn for a graph y = x2 – 3x + 1
x -3 -2 -1 0 1 2 3
y=x21- 3x + 1 1 -1 3 1 -1 3 1
From x = -2 to x = 1, the graph crosses the x-axis in the
range(s)",,-1 < x < 0 and 0 < x < 1,-2 < x < -1 and 0 < x < 1,-2 < x < -1 and 0 < x < 1,0 < x < 1,1 < x < 2,,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,6,18,yes,no,yes
MTH-1984-019,JAMB,Mathematics,Past Questions,,medium,1984,,"In a racing competition. Musa covered a distance of 5xkm
in the first hour and (x + 10)km in the next hour. He was
second to Ngozi who covered a total distance of 118km
in the two hours. Which of the following inequalities is
correct?",,0 < -x < 15,–3 < x < 3,15 < x < 18,0 < x < 15,0 < x < 18,,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,6,19,yes,no,no
MTH-1984-020,JAMB,Mathematics,Past Questions,,medium,1984,,"2x + 3y = 1 and y = x – 2y = 11, find (x + y)",,5,–3,8,2,2,,,mathematics|jamb|1984|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,6,20,yes,no,no
