question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
ENG-0020,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why do Mr. Bepo’s colleagues find his reluctance to relocate amusing?,,They think he is afraid of flying.,They assume he wants to stay in Nigeria to fulfil his entrepreneurial dreams.,They think he dislikes the United Kingdom.,They believe he should jump at the opportunity to earn more abroad.,D,,jamb|2025,past-question,active
ENG-0021,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why did the Fruitful Future school fail?,,The teachers were unqualified.,Bepo was not willing to be involved in the ritual practices in the area,The location lacked basic infrastructure.,The school had poor management.,C,,jamb|2025,past-question,active
ENG-0022,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Which factor makes Mr. Bepo cautious about entering the commercial transportation business?,,Lack of startup capital,Untrustworthy commercial drivers,High operational costs,Lack of interest in the sector,B,,jamb|2025,past-question,active
ENG-0023,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What does the term roforofos that Mr Audu used when talking about Mr Bepo most likely refer to?,,Friendly greetings,Petty disagreements and conflicts,School projects,Mismanagement issues,B,,jamb|2025,past-question,active
ENG-0024,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What does Mr. Bepo’s reluctance to relocate reveal about his values?,,He values financial security over personal fulfilment.,He prioritises his students and professional relationships.,He avoids making difficult decisions.,He feels unprepared for a new environment.,B,,jamb|2025,past-question,active
ENG-0025,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"According to Bepo, why is the hourly payment system beneficial?",,It allows employees to earn more.,It enables employees to change jobs easily,It reduces the workload for employees.,It allows employees to take more holidays.,B,,jamb|2025,past-question,active
ENG-0026,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"According to the novel, what is the approximate annual migration rate of Nigerian doctors?",,"300 out of 3,000","2,000 out of 3,000","500 out of 3,000","1,000 out of 3,000",D,,jamb|2025,past-question,active
ENG-0027,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What unethical act did Mr. Nku engage in before relocating abroad?,,He sold the school’s property,He borrowed N2 million from the school’s cooperative,He falsified documents to gain a visa.,He stole money from the school’s treasury.,B,,jamb|2025,past-question,active
ENG-0028,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why did one of the school drivers attempt to sell the school bus?,,To pay his son’s tuition fees abroad,To fund his wife’s business,To clear his personal debt,To finance a trip to the UK,A,,jamb|2025,past-question,active
ENG-0029,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"According to the novel, why do most Nigerians prefer relocating to the UK?",,Better climate conditions,Easier visa application process,Free education and healthcare for their children,Higher job opportunities compared to other countries,C,,jamb|2025,past-question,active
ENG-0030,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What proverb does Bepo recall from his Idoma co-tenant?,,"“Whether the employer records gains or not, the employee will yet take home his full pay.”",“Hard work always leads to success.”,“Life’s intriguing tests yield the same results for everyone.”,“The sugarcane and the bitter leaf get different tastes from the same rain.”,D,,jamb|2025,past-question,active
ENG-0031,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What lesson does Hope’s story about relocating to the UK teach?,,Financial independence is critical when relocating.,Working while studying guarantees success.,Couples always succeed when they share responsibilities.,Relocation is a foolproof plan for success.,A,,jamb|2025,past-question,active
ENG-0032,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,How much did Sola and her husband borrow to fund their relocation?,,N2 million,N4 million,N3 million,N5 million,B,,jamb|2025,past-question,active
ENG-0033,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Where does Bepo live?,,"Adeniyi Jones, Ikeja, Lagos","Oniru, Victoria Island, Lagos","Yaba, Lagos","Obalende, Ikoyi, Lagos",A,,jamb|2025,past-question,active
ENG-0034,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why does Mr Ignatius want to relocate with his family?,,To find better jobs abroad.,To secure a better future for his children.,To reunite with his extended family abroad.,To enrol his children in Stardom schools abroad.,B,,jamb|2025,past-question,active
ENG-0035,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What skill did Mrs Ignatius begin learning to support her family abroad?,,Accounting and clerical work,Cloth weaving and Adire,Tailoring and hairdressing,Photography,C,,jamb|2025,past-question,active
ENG-0036,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What disrupted the Ignatius family's relocation plans?,,Mr Ignatius lost his job.,Mrs Ignatius changed her mind about relocating.,A DNA test revealed Mr Ignatius was not Favour's biological father.,Their visa application was denied.,C,,jamb|2025,past-question,active
ENG-0037,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why was Mr Ayesoro transferred from his teaching role?,,He had poor teaching performance.,A student had recurring nightmares about him.,He requested a transfer for personal reasons.,The school wanted him to work in their property division.,B,,jamb|2025,past-question,active
ENG-0038,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What nickname did students give to Mr Ayesoro because of his tribal marks?,,Mr Owala,Mr Ologbo,Mr Egun,Mr Omole,A,,jamb|2025,past-question,active
ENG-0039,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why did the school transfer Mr Ayesoro to Stardom Hub?,,To punish him for misconduct.,To provide him with a better job opportunity.,To reward him for his dedication.,To retain Mrs Ladele’s children in the school.,D,,jamb|2025,past-question,active
ENG-0040,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What does the MD discover about the land Stardom acquired two years ago?,,It is being used for illegal activities.,It has been sold without her knowledge.,Teachers and staff are using it as a car park.,It is being developed into a new school building.,C,,jamb|2025,past-question,active
ENG-0041,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,How are the teachers and staff at Stardom able to afford cars?,,They are receiving bribes.,They have taken loans from the school’s cooperative society.,They are paid high salaries.,They are running side businesses.,B,,jamb|2025,past-question,active
ENG-0042,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,"How much money is in the account of the Stardom Cooperative Society, as discovered by the board?",,Over N50 million,N200 million,N45 million,N95 million,D,,jamb|2025,past-question,active
ENG-0043,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What simile does the Chairman use to describe the potential risk of the cooperative funds?,,It’s like building castles in the air.,It’s like hanging a snake in the roof and going to bed.,It’s like lighting a fire in the middle of a haystack.,It’s like giving a sword to your enemy.,B,,jamb|2025,past-question,active
ENG-0044,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What decision does the board make about loans from the cooperative?,,No loans can be given to staff under any circumstances.,All loan requests must be approved by the staff union.,"Staff loans cannot exceed N250,000",The cooperative must stop lending money to staff immediately.,C,,jamb|2025,past-question,active
ENG-0045,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why do some teachers at Stardom Schools dread Open Day?,,They are afraid of being sacked,They dislike interacting with parents,Parents often come with complaints,The day involves long hours of work,C,,jamb|2025,past-question,active
ENG-0046,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What did Mr Guta demand in the MD’s office regarding Mr Fafore?,,A salary increase for Mr Fafore,The immediate dismissal of Mr Fafore,A change in his son’s class teacher.,A public apology from Mr Fafore.,B,,jamb|2025,past-question,active
ENG-0047,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why does the school no longer allow students to copy notes from the Class Prefect?,,It disrupts classroom management,A parent sued the school for this practice,The students often make errors when copying notes,The teachers believe it wastes time,B,,jamb|2025,past-question,active
ENG-0048,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What reason did Mr Guta give for being angry with Mr Fafore?,,He found a grammatical error in his son's note,He felt Mr Fafore was not teaching effectively,He was unhappy with Mr Fafore's attitude,His son complained about being treated unfairly,A,,jamb|2025,past-question,active
ENG-0049,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What grammatical rule was the source of disagreement between the MD and the principal?,,The use of the subjunctive mood,The use of conjunctions such as (and),The subject-verb agreement with phrases like (as well as),The proper placement of modifiers,C,,jamb|2025,past-question,active
ENG-0050,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What did Mr Audu do after the MD felt deflated that she had wrongly sacked Mr Fafore?,,He defended Mr Fafore's teaching methods,He proposed new rules for grammar checks,He suggested a training session for the staff,He cracked a joke to lighten the mood,D,,jamb|2025,past-question,active
ENG-0051,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What conclusion did the teachers draw from Mr Fafore's sack incident?,,Open Day is a stressful event,There is no job security in the establishment,Parents should not interfere with teaching methods,The MD is always fair in her decisions,B,,jamb|2025,past-question,active
ENG-0052,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why did Bepo leave Beesway Group of School?,,He was accused of sharing confidential information with the parents,He was dissatisfied with the grammatical error in the school's name,He witnessed an event that he considered ungodly,He disagreed with the director about his salary,C,,jamb|2025,past-question,active
ENG-0053,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What grammatical issue did Bepo raise about Beesway Group of School's name?,,The spelling of (Beesway),The use of singular instead of plural in (Group of School),The absence of a hyphen in the name,The misuse of capital letters in the name,B,,jamb|2025,past-question,active
