question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
BIO-0027,JAMB,Biology,Animal Biology/Physiology,Transport Systems,medium,2025,,Which of the following is a medium of transportation in animal cells?,,Latex,Cytoplasm,Cell sap,Blood,D,,jamb|2025,past-question,active
BIO-0028,JAMB,Biology,Cell Biology,Cell Structure/Organelles,medium,2025,,The part labelled I is the,,mitochondrion,cytoplasm,vacuole,nucleus,D,,jamb|2025,past-question,active
BIO-0029,JAMB,Biology,Ecology,Habitats,easy,2025,,Which of these is an estuarine habitat?,,Lagoon,River,Lakes,Ocean,A,,jamb|2025,past-question,active
BIO-0030,JAMB,Biology,Animal Biology/Physiology,Feeding Adaptations,medium,2025,,The mouth parts of a grasshopper are adapted for,,piercing and sucking,sucking and chewing,biting and chewing,biting and sucking,C,,jamb|2025,past-question,active
BIO-0031,JAMB,Biology,Ecology,Population Dynamics,medium,2025,,The following are factors that affect the population growth of an organism except,,predator,food shortage,natality,disease,C,,jamb|2025,past-question,active
BIO-0032,JAMB,Biology,Ecology,Succession,easy,2025,,"In ecological succession, the final stable community is called",,climax,secondary,serial,pioneer,A,,jamb|2025,past-question,active
BIO-0033,JAMB,Biology,Animal Biology/Physiology,Skin/Integumentary System,medium,2025,,The innermost layer of mammalian epidermis is,,capillaries layer,cornified layer,granular layer,Malpighian layer,D,,jamb|2025,past-question,active
BIO-0034,JAMB,Biology,Genetics,Monohybrid Cross Probability,medium,2025,,"In a cross involving a heterozygous red flower plant (Rr) and a white flowered plant (rr), what is the probability that the offspring will be Rr?",,\(\frac{1}{2}\),1,\(\frac{1}{4}\),2,A,,jamb|2025,past-question,active
BIO-0035,JAMB,Biology,Cell Biology,Organelles,medium,2025,,The structure that helps in the formation of cilia and flagella is,,plastid,centriole,golgi bodies,lysosome,B,,jamb|2025,past-question,active
BIO-0036,JAMB,Biology,Animal Biology/Physiology,Skeletal System,medium,2025,,The vertebrate bone responsible for the attachment of the abdominal muscles is,,sacral,thoracic,lumbar,cervical,C,,jamb|2025,past-question,active
BIO-0037,JAMB,Biology,Animal Biology/Physiology,Teeth/Digestion,easy,2025,,The canine teeth are prominent in which group of animals?,,Carnivores,Parasites,Herbivores,Omnivores,A,,jamb|2025,past-question,active
BIO-0038,JAMB,Biology,Plant Biology,Transport in Plants,medium,2025,,Translocation of manufactured food in plants is through the,,pericycle,phloem cells,endodermis,xylem vessels,B,,jamb|2025,past-question,active
BIO-0039,JAMB,Biology,Evolution,Evolutionary Trends,medium,2025,,The most advanced organism in an evolutionary trend among the following is,,planaria,paramecium,earthworm,hydra,C,,jamb|2025,past-question,active
BIO-0040,JAMB,Biology,Ecology,Plant Adaptations,medium,2025,,One of the following adapts baobab tree to savanna habitat.,,Presence of deciduous stem,Presence of tap roots,Presence of broadleaves,Presence of thick bark,D,,jamb|2025,past-question,active
BIO-0041,JAMB,Biology,Genetics,Inherited Disorders,medium,2025,,Albinism is a disorder caused by,,under production of sebum,over secretion of sebum,recessive genes,over production of melanin,C,,jamb|2025,past-question,active
BIO-0042,JAMB,Biology,Animal Biology/Physiology,Nervous System/Reflexes,easy,2025,,An example of a reflex action is,,writing,talking,coughing,walking,C,,jamb|2025,past-question,active
BIO-0043,JAMB,Biology,Evolution,Vestigial Structures,medium,2025,,Which of the following is an example of vestigial structure?,,Elephant trunk,Human appendix,Bird wings,Fish gills,B,,jamb|2025,past-question,active
BIO-0044,JAMB,Biology,Genetics,DNA Structure,medium,2025,,The correct base pair in DNA molecule is,,cytosine - adenine,cytosine - thymine,guanine - adenine,adenine - thymine,D,,jamb|2025,past-question,active
BIO-0045,JAMB,Biology,Ecology,Competition/Natural Selection,medium,2025,,Population replacement among species of organisms in a given habitat under competition is due to,,survival of the fittest,climax community,natural selection,dominant population,C,,jamb|2025,past-question,active
BIO-0046,JAMB,Biology,Evolution,Evidence of Evolution,medium,2025,,Appendix in humans and caecum in herbivores are evidences of evolution from,,vestigial organ,fossil records,comparative anatomy,embryology,A,,jamb|2025,past-question,active
BIO-0047,JAMB,Biology,Ecology,Camouflage/Adaptation,medium,2025,,A form of adaptive colouration that helps animals to remain unnoticed is,,hibernation,aestivation,migration,countershading,D,,jamb|2025,past-question,active
BIO-0048,JAMB,Biology,Genetics,Biotechnology/GMO,medium,2025,,Genetically Modified Organisms (GMO) food products are of benefit to farmers because they are,,resistant crop varieties,susceptible to diseases,of low quality,low yielding varieties,A,,jamb|2025,past-question,active
BIO-0049,JAMB,Biology,Genetics,Variation,easy,2025,,The variation that can be applied in crime detection is,,tongue rolling,height,colour,fingerprints,D,,jamb|2025,past-question,active
BIO-0050,JAMB,Biology,Ecology,Vegetation Zones (Nigeria),medium,2025,,The date palm is commonly planted in Sahel zone of,,Katsina,Borno,Plateau,Taraba,B,,jamb|2025,past-question,active
BIO-0051,JAMB,Biology,Plant Biology,Flower Structure,medium,2025,,The region of a flower stalk attached to flower parts is,,corolla,pedicel,calyx,receptacle,D,,jamb|2025,past-question,active
BIO-0052,JAMB,Biology,Ecology,Nutrient Cycles,medium,2025,,Which of the following processes takes place in the carbon cycle?,,Combustion,Nitrification,Evaporation,Transpiration,A,,jamb|2025,past-question,active
BIO-0053,JAMB,Biology,Plant Biology,Growth Measurement,easy,2025,,An instrument used in measuring plants growth is,,hygrometer,auxanometer,barometer,thermometer,B,,jamb|2025,past-question,active
BIO-0054,JAMB,Biology,Classification/Taxonomy,Protist/Plant Classification,medium,2025,,Chlamydomonas belongs to the phylum,,tracheophyta,protophyta,pteridophyta,bryophyta,B,,jamb|2025,past-question,active
BIO-0055,JAMB,Biology,Plant Biology,Flower Structure/Pollination,medium,2025,,The part of the flower that is brightly coloured and attract pollinating agents such as insects is labelled,,III,I,IV,II,A,,jamb|2025,past-question,active
BIO-0056,JAMB,Biology,Genetics,Blood Groups,hard,2025,,Which of the following blood groups will clump when mixed with anti-a antibody serum?,,A and AB,B only,B and O,A only,A,,jamb|2025,past-question,active
BIO-0057,JAMB,Biology,Plant Biology,Root Anatomy,medium,2025,,Which of these is the correct arrangement of tissues in herbaceous roots from the circumference to the center?,,"piliferous layer, cortex, pericycle, vascular tissue and pith","piliferous layer, cortex, vascular tissues, pericycle and pith","piliferous layer, pericycle, vascular tissues, cortex and pith","piliferous layer, cortex, vascular tissues, pith and pericycle",A,,jamb|2025,past-question,active
BIO-0058,JAMB,Biology,Classification/Taxonomy,Mollusc Anatomy,medium,2025,,The part labelled I is the,,collar,foot,shell,head,C,,jamb|2025,past-question,active
BIO-0059,JAMB,Biology,Cell Biology,Organelles/Nucleus Function,medium,2025,,The function of the organelle labelled II is to,,produce energy for the cell,transport materials outside the cells,transport materials within the cell,coordinate the activities of the cell,D,,jamb|2025,past-question,active
BIO-0060,JAMB,Biology,Cell Biology,Organelles,medium,2025,,The cell component that stores waste products is the,,Golgi apparatus,cell wall,vacuoles,lysosome,C,,jamb|2025,past-question,active
BIO-0061,JAMB,Biology,Ecology,Habitats/Vegetation,medium,2025,,Which of these plants is considered to be common in an estuarine habitat?,,plantain,Gmelina,Iroko,Mangrove,D,,jamb|2025,past-question,active
BIO-0062,JAMB,Biology,Animal Biology/Physiology,Excretory System/Kidney,medium,2025,,Renal artery branches and divides into a mass of blood capillaries in the Bowman's capsule called,,tubule,pelvis,glomerulus,nephron,C,,jamb|2025,past-question,active
